"Year","HND production Eora 199.082 (2023)","HND production GCB 2023v26"
1970,1.410000,
1971,1.350000,
1972,1.550000,
1973,1.530000,
1974,1.580000,
1975,1.690000,
1976,1.800000,
1977,2.020000,
1978,2.070000,
1979,1.950000,
1980,2.070000,
1981,1.840000,
1982,1.780000,
1983,2.010000,
1984,1.990000,
1985,1.920000,
1986,1.860000,
1987,2.180000,
1988,2.500000,
1989,2.720000,
1990,2.580000,2.504658
1991,2.690000,2.526966
1992,3.070000,2.803312
1993,2.840000,2.940777
1994,3.330000,3.231039
1995,3.890000,3.836235
1996,3.990000,3.875521
1997,4.190000,4.010334
1998,4.680000,4.810582
1999,4.770000,4.704557
2000,5.040000,5.031508
2001,5.720000,5.664895
2002,6.070000,5.945282
2003,6.770000,6.686778
2004,7.360000,7.194159
2005,7.560000,6.834857
2006,6.960000,7.698208
2007,8.700000,8.216418
2008,8.560000,8.532908
2009,7.760000,8.030408
2010,7.870000,7.996618
2011,8.840000,8.860314
2012,8.850000,9.218278
2013,8.940000,9.364898
2014,9.350000,9.481238
2015,10.200000,10.347979
2016,10.600000,9.722308
2017,10.500000,10.231486
2018,11.024330,9.861259
2019,11.398330,11.218794
2020,11.820240,9.526111
2021,12.285310,10.810972
2022,12.104750,
