"Year","ALB production Eora 199.082 (2023)","ALB production GCB 2023v26","ALB consumption Eora 199.082 (2023)","ALB consumption GCB 2023v26"
1970,2.120000,,1.624093,
1971,2.370000,,1.508843,
1972,2.960000,,1.594155,
1973,2.890000,,1.337045,
1974,2.510000,,1.032932,
1975,2.540000,,1.563586,
1976,2.730000,,2.069179,
1977,3.080000,,3.141254,
1978,3.520000,,3.508180,
1979,4.040000,,4.263311,
1980,3.030000,,3.275184,
1981,3.900000,,4.105561,
1982,3.840000,,3.862806,
1983,3.930000,,3.496086,
1984,4.070000,,3.376593,
1985,4.100000,,4.618428,
1986,4.210000,,1.288136,
1987,3.940000,,0.829921,
1988,3.850000,,3.151008,
1989,4.760000,,5.405981,
1990,3.950000,5.520602,4.373138,5.556261
1991,5.570000,4.290226,6.027279,4.613805
1992,3.360000,2.517116,3.811068,2.915824
1993,3.270000,2.337999,-0.764356,2.672829
1994,3.520000,1.923806,1.610364,2.372482
1995,3.460000,2.089065,4.103989,2.546276
1996,3.360000,2.017508,3.946417,3.026079
1997,3.470000,1.543009,4.090417,2.219945
1998,4.210000,1.754709,4.820871,2.536022
1999,4.540000,2.986196,5.095712,3.782500
2000,3.210000,3.024926,3.918091,4.075235
2001,3.670000,3.220656,4.511849,4.485296
2002,3.870000,3.748272,4.778085,5.103119
2003,4.120000,4.303499,5.320735,5.906305
2004,4.390000,4.176684,5.817582,5.482477
2005,4.270000,4.261413,5.850245,5.769211
2006,4.180000,3.910715,5.925754,5.683099
2007,4.520000,3.948970,6.530739,5.955982
2008,4.600000,4.397043,6.728457,6.542396
2009,5.010000,4.406552,6.806996,6.914595
2010,5.260000,4.783865,7.084346,6.614409
2011,5.960000,5.314676,7.896093,7.145087
2012,5.560000,4.850060,7.407933,6.844484
2013,5.730000,5.287465,7.568540,6.577429
2014,6.470000,5.999650,8.162444,6.512503
2015,5.930000,4.712144,7.641797,5.913016
2016,6.160000,4.631979,6.601605,5.822478
2017,6.260000,5.293048,6.646724,5.940313
2018,6.424834,4.894953,8.034176,5.944046
2019,6.545845,4.826944,8.150165,5.832359
2020,6.599435,5.018921,8.421532,6.021403
2021,6.642830,4.896722,8.209599,5.957935
2022,6.915323,,8.408211,
