"Year","UZB production Eora 199.082 (2023)"
1970,52.400000
1971,56.700000
1972,59.800000
1973,63
1974,66.100000
1975,70.300000
1976,74.200000
1977,77.700000
1978,81.500000
1979,83.600000
1980,87.300000
1981,90.400000
1982,92.900000
1983,95.800000
1984,98.300000
1985,105
1986,104
1987,112
1988,117
1989,116
1990,115
1991,115
1992,108
1993,109
1994,104
1995,104
1996,108
1997,106
1998,103
1999,107
2000,112
2001,112
2002,116
2003,112
2004,109
2005,106
2006,109
2007,108
2008,118
2009,111
2010,106
2011,109
2012,109
2013,99.100000
2014,101
2015,97
2016,97.500000
2017,101
2018,96.230120
2019,94.586950
2020,92.459210
2021,90.108510
2022,88.237340
