"Year","DOM production Eora 199.082 (2023)","DOM production GCB 2023v26"
1970,3.070000,
1971,3.510000,
1972,4.670000,
1973,5.840000,
1974,6.240000,
1975,6.200000,
1976,6.170000,
1977,5.540000,
1978,5.360000,
1979,6.650000,
1980,6.320000,
1981,6.040000,
1982,6.190000,
1983,7.680000,
1984,7.250000,
1985,7.090000,
1986,7.930000,
1987,9.420000,
1988,9.480000,
1989,10,
1990,8.920000,8.936017
1991,10.500000,9.538286
1992,12.100000,10.418188
1993,13.700000,11.208752
1994,15.200000,11.796446
1995,17.800000,15.106975
1996,17.700000,16.484352
1997,16.900000,17.265690
1998,16.200000,17.788184
1999,16.600000,17.821253
2000,18.100000,18.991627
2001,17.500000,19.144596
2002,18.100000,20.949129
2003,17.700000,21.345009
2004,14.500000,17.333192
2005,14.200000,17.940521
2006,14.400000,19.111932
2007,14.700000,19.992930
2008,13.900000,20.331836
2009,13,19.780666
2010,12.800000,20.553453
2011,12.900000,21.317914
2012,13.400000,21.254754
2013,13.100000,21.266960
2014,13.200000,21.800611
2015,13.500000,23.494589
2016,13.800000,24.644567
2017,13.800000,24.016922
2018,14.033010,25.756241
2019,14.294260,28.374693
2020,14.683950,23.501650
2021,15.097750,23.748996
2022,13.333320,
