"Year","ALB production Eora 199.082 (2023)","ALB production GCB 2023v26","ALB consumption Eora 199.082 (2023)","ALB consumption GCB 2023v26","ALB net_trade Eora 199.082 (2023)","ALB net_trade GCB 2023v26"
1970,2.120000,,1.624093,,-0.495907,
1971,2.370000,,1.508843,,-0.861157,
1972,2.960000,,1.594155,,-1.365845,
1973,2.890000,,1.337045,,-1.552955,
1974,2.510000,,1.032932,,-1.477068,
1975,2.540000,,1.563586,,-0.976414,
1976,2.730000,,2.069179,,-0.660821,
1977,3.080000,,3.141254,,0.061254,
1978,3.520000,,3.508180,,-0.011820,
1979,4.040000,,4.263311,,0.223311,
1980,3.030000,,3.275184,,0.245184,
1981,3.900000,,4.105561,,0.205561,
1982,3.840000,,3.862806,,0.022806,
1983,3.930000,,3.496086,,-0.433914,
1984,4.070000,,3.376593,,-0.693407,
1985,4.100000,,4.618428,,0.518428,
1986,4.210000,,1.288136,,-2.921864,
1987,3.940000,,0.829921,,-3.110079,
1988,3.850000,,3.151008,,-0.698992,
1989,4.760000,,5.405981,,0.645981,
1990,3.950000,5.520602,4.373138,5.556261,0.423138,0.035659
1991,5.570000,4.290226,6.027279,4.613805,0.457279,0.323579
1992,3.360000,2.517116,3.811068,2.915824,0.451068,0.398707
1993,3.270000,2.337999,-0.764356,2.672829,-4.034356,0.334830
1994,3.520000,1.923806,1.610364,2.372482,-1.909636,0.448676
1995,3.460000,2.089065,4.103989,2.546276,0.643989,0.457211
1996,3.360000,2.017508,3.946417,3.026079,0.586417,1.008571
1997,3.470000,1.543009,4.090417,2.219945,0.620417,0.676936
1998,4.210000,1.754709,4.820871,2.536022,0.610871,0.781313
1999,4.540000,2.986196,5.095712,3.782500,0.555712,0.796304
2000,3.210000,3.024926,3.918091,4.075235,0.708091,1.050309
2001,3.670000,3.220656,4.511849,4.485296,0.841849,1.264640
2002,3.870000,3.748272,4.778085,5.103119,0.908085,1.354847
2003,4.120000,4.303499,5.320735,5.906305,1.200735,1.602806
2004,4.390000,4.176684,5.817582,5.482477,1.427582,1.305793
2005,4.270000,4.261413,5.850245,5.769211,1.580245,1.507798
2006,4.180000,3.910715,5.925754,5.683099,1.745754,1.772384
2007,4.520000,3.948970,6.530739,5.955982,2.010739,2.007013
2008,4.600000,4.397043,6.728457,6.542396,2.128457,2.145353
2009,5.010000,4.406552,6.806996,6.914595,1.796996,2.508043
2010,5.260000,4.783865,7.084346,6.614409,1.824346,1.830544
2011,5.960000,5.314676,7.896093,7.145087,1.936093,1.830411
2012,5.560000,4.850060,7.407933,6.844484,1.847933,1.994424
2013,5.730000,5.287465,7.568540,6.577429,1.838540,1.289964
2014,6.470000,5.999650,8.162444,6.512503,1.692444,0.512853
2015,5.930000,4.712144,7.641797,5.913016,1.711797,1.200872
2016,6.160000,4.631979,6.601605,5.822478,0.441605,1.190499
2017,6.260000,5.293048,6.646724,5.940313,0.386724,0.647265
2018,6.424834,4.894953,8.034176,5.944046,1.609342,1.049093
2019,6.545845,4.826944,8.150165,5.832359,1.604320,1.005415
2020,6.599435,5.018921,8.421532,6.021403,1.822097,1.002482
2021,6.642830,4.896722,8.209599,5.957935,1.566769,1.061213
2022,6.915323,,8.408211,,1.492888,
