"Year","HTI production Eora 199.082 (2023)","HTI consumption Eora 199.082 (2023)"
1970,0.398000,-0.034462
1971,0.416000,-0.336499
1972,0.405000,-0.780076
1973,0.435000,-0.897426
1974,0.486000,-0.734569
1975,0.498000,-0.208823
1976,0.687000,0.426048
1977,0.719000,1.220618
1978,0.766000,1.254781
1979,0.766000,1.708417
1980,0.761000,2.100644
1981,0.776000,2.145064
1982,0.835000,1.560329
1983,0.904000,0.500256
1984,0.921000,-0.476337
1985,0.948000,2.790066
1986,0.849000,-6.349893
1987,0.918000,-6.702461
1988,1.030000,0.121457
1989,1.040000,1.587556
1990,1,1.408289
1991,1,1.425371
1992,0.919000,0.485546
1993,0.679000,-3.049691
1994,0.372000,-1.502418
1995,0.980000,1.265488
1996,1.120000,1.204073
1997,1.460000,1.691812
1998,1.330000,1.510305
1999,1.430000,1.602207
2000,1.470000,1.560594
2001,1.580000,1.723881
2002,1.830000,1.914249
2003,1.740000,1.845135
2004,1.990000,2.138066
2005,2.080000,2.234840
2006,2.110000,2.337093
2007,2.390000,2.634856
2008,2.390000,2.697108
2009,2.270000,2.604823
2010,2.120000,2.670340
2011,2.210000,2.708086
2012,2.310000,2.781417
2013,2.400000,2.876237
2014,2.850000,3.273458
2015,2.910000,3.314661
2016,2.990000,3.342280
2017,2.980000,3.522862
2018,3.383821,4.936858
2019,3.636511,5.036756
2020,3.900118,5.366110
2021,4.175932,5.545974
2022,3.020114,4.493237
