"Year","MKD production Eora 199.082 (2023)","MKD consumption Eora 199.082 (2023)"
1970,6.740000,4.281954
1971,7.030000,4.872934
1972,6.630000,3.402320
1973,7.800000,4.633961
1974,7.840000,4.541421
1975,7.600000,5.077833
1976,7.850000,5.697803
1977,7.600000,6.475396
1978,8.150000,6.686916
1979,8.950000,7.527885
1980,8.500000,6.964085
1981,9.370000,7.678521
1982,8.170000,6.708957
1983,8.650000,6.568354
1984,9.280000,6.763109
1985,9.500000,8.391036
1986,9.840000,4.215973
1987,9.730000,3.842097
1988,10.100000,7.722023
1989,10.100000,9.348428
1990,10.100000,9.690490
1991,9.410000,8.496683
1992,8.840000,7.037881
1993,9.240000,2.703100
1994,8.950000,5.187000
1995,9.140000,8.791636
1996,8.850000,8.078503
1997,9.610000,8.201815
1998,10.300000,9.357276
1999,9.940000,9.055094
2000,9.580000,8.937079
2001,9.710000,8.672297
2002,10.100000,8.991080
2003,9.350000,8.621479
2004,9.110000,8.680624
2005,9.890000,9.249094
2006,8.950000,8.705524
2007,9.470000,9.478524
2008,9.520000,9.830862
2009,9.610000,9.549338
2010,9.710000,9.587600
2011,9.790000,9.906193
2012,9.890000,9.851480
2013,8.980000,9.162496
2014,8.490000,8.712866
2015,8.130000,8.576493
2016,8.050000,6.376221
2017,8.570000,6.415482
2018,8.570000,7.737684
2019,8.570000,7.703107
2020,8.570000,7.763428
2021,8.570000,7.721290
2022,8.570000,7.759396
