"Year","CYM production Eora 199.082"
1990,0.150000
1991,0.160000
1992,0.160000
1993,0.160000
1994,0.150000
1995,0.190000
1996,0.190000
1997,0.190000
1998,0.170000
1999,0.180000
2000,0.160000
2001,0.160000
2002,0.170000
2003,0.170000
2004,0.210000
2005,0.190000
2006,0.210000
2007,0.240000
2008,0.320000
2009,0.260000
2010,0.280000
2011,0.280000
2012,0.490000
2013,0.510000
2014,0.470000
2015,0.490000
2016,0.500000
2017,0.400000
2018,0.413536
2019,0.402897
2020,0.402897
2021,0.402897
2022,
