"Year","GHA production Eora 199.082 (2023)","GHA production GCB 2023v26","GHA consumption Eora 199.082 (2023)","GHA consumption GCB 2023v26","GHA net_trade Eora 199.082 (2023)","GHA net_trade GCB 2023v26"
1970,1.820000,,1.554538,,-0.265462,
1971,1.580000,,0.996246,,-0.583754,
1972,1.730000,,0.641155,,-1.088845,
1973,1.790000,,0.691614,,-1.098386,
1974,2.080000,,1.464800,,-0.615200,
1975,1.890000,,1.803653,,-0.086347,
1976,1.710000,,2.193261,,0.483261,
1977,2.090000,,3.651860,,1.561860,
1978,2.040000,,3.569854,,1.529854,
1979,1.990000,,4.387679,,2.397679,
1980,1.950000,,4.741911,,2.791911,
1981,2.220000,,4.775452,,2.555452,
1982,2.280000,,3.550610,,1.270610,
1983,2.450000,,2.726808,,0.276808,
1984,1.760000,,1.740754,,-0.019246,
1985,2.220000,,3.826585,,1.606585,
1986,2.200000,,-0.634115,,-2.834115,
1987,2.390000,,-0.387290,,-2.777290,
1988,2.450000,,2.353297,,-0.096703,
1989,2.370000,,3.706419,,1.336419,
1990,2.950000,3.513776,4.068181,4.589722,1.118181,1.075946
1991,2.470000,3.901860,3.656808,4.990793,1.186808,1.088934
1992,2.990000,3.242640,3.329214,4.400356,0.339214,1.157716
1993,3.220000,3.817888,-0.080518,4.947198,-3.300518,1.129310
1994,3.340000,4.539696,1.909057,5.704680,-1.430943,1.164984
1995,3.660000,4.623968,4.445371,5.871588,0.785371,1.247620
1996,3.950000,4.858464,4.661219,7.052570,0.711219,2.194106
1997,4.080000,5.514320,4.770104,8.644583,0.690104,3.130263
1998,4.470000,5.583936,5.131971,8.249866,0.661971,2.665930
1999,5.040000,5.613248,5.829565,9.580291,0.789565,3.967043
2000,6.410000,5.312800,6.504753,7.953857,0.094753,2.641057
2001,5.700000,5.968656,6.101377,8.591017,0.401377,2.622361
2002,6.100000,6.483251,6.347932,8.253562,0.247932,1.770311
2003,6.540000,6.684573,7.224671,9.582499,0.684671,2.897926
2004,5.970000,6.450628,6.979249,9.451676,1.009249,3.001048
2005,6.580000,6.113072,7.775012,10.263124,1.195012,4.150052
2006,8.050000,8.523184,9.430570,12.813702,1.380570,4.290518
2007,7.790000,8.981875,9.574529,13.471446,1.784529,4.489572
2008,7.240000,8.324323,9.463724,13.854541,2.223724,5.530218
2009,6.120000,6.868021,8.064471,11.766212,1.944471,4.898191
2010,8.290000,8.942513,10.386570,14.031274,2.096570,5.088762
2011,8.720000,10.335549,11.891060,17.497534,3.171060,7.161985
2012,9.910000,12.644250,12.834960,22.251696,2.924960,9.607445
2013,12,12.606324,14.760390,20.329186,2.760390,7.722863
2014,11.900000,13.252466,14.732230,21.060007,2.832230,7.807541
2015,11.800000,14.568119,14.629540,22.085829,2.829540,7.517710
2016,12.600000,13.917313,20.546920,19.949803,7.946920,6.032489
2017,13.300000,12.437709,20.702350,19.150393,7.402350,6.712684
2018,13.755920,15.193367,22.455580,19.946119,8.699660,4.752752
2019,14.621170,16.418401,23.444110,20.237949,8.822940,3.819547
2020,15.327150,19.168242,24.256060,23.860877,8.928910,4.692634
2021,15.754860,20.934828,24.476770,24.976435,8.721910,4.041607
2022,16.011610,,24.934040,,8.922430,
