"Year","KWT production Eora 199.082 (2023)","KWT production GCB 2023v26"
1970,25.200000,
1971,27.500000,
1972,28.200000,
1973,24.800000,
1974,19.900000,
1975,17.300000,
1976,19.400000,
1977,18.100000,
1978,21.900000,
1979,18.600000,
1980,25.700000,
1981,26,
1982,21.500000,
1983,22.300000,
1984,28.900000,
1985,30.400000,
1986,36.900000,
1987,33.400000,
1988,34.700000,
1989,38.100000,
1990,52.400000,37.807037
1991,489,14.916435
1992,22.300000,29.648394
1993,34.800000,49.129433
1994,40.600000,57.196627
1995,56.700000,56.127692
1996,51.900000,51.626873
1997,56.800000,56.620857
1998,53.800000,52.811751
1999,56,54.978047
2000,55.700000,54.889606
2001,59.900000,59.050695
2002,60.600000,59.985636
2003,62.400000,62.336196
2004,66,65.630657
2005,74.400000,74.426419
2006,76.800000,76.047152
2007,78.500000,77.158345
2008,86.100000,84.281068
2009,90.900000,88.716613
2010,93.200000,90.869914
2011,95.100000,87.916715
2012,106,101.766060
2013,103,83.723285
2014,93.200000,75.623532
2015,101,93.660648
2016,102,109.126334
2017,101,103.313348
2018,108.240900,105.547873
2019,110.387800,108.893453
2020,113.427500,97.712411
2021,116.341400,103.180377
2022,115.745300,
