"Year","HUN production EXIOBASE 3.8.2","HUN production WIOD2016","HUN production OECDv2","HUN production Eora 199.082 (2023)","HUN production FIGARO April 2022","HUN production GCB 2023v26","HUN production Eurostat NAMEA"
1970,,,,71.200000,,,
1971,,,,70.700000,,,
1972,,,,71.100000,,,
1973,,,,74.800000,,,
1974,,,,75.900000,,,
1975,,,,77.600000,,,
1976,,,,82.700000,,,
1977,,,,85.900000,,,
1978,,,,90.700000,,,
1979,,,,89.200000,,,
1980,,,,89.300000,,,
1981,,,,88.900000,,,
1982,,,,88.700000,,,
1983,,,,90.700000,,,
1984,,,,92.500000,,,
1985,,,,87.500000,,,
1986,,,,85.700000,,,
1987,,,,86.200000,,,
1988,,,,82.100000,,,
1989,,,,79.800000,,,
1990,,,,74.200000,,73.376825,
1991,,,,70.400000,,69.701938,
1992,,,,63.300000,,62.348018,
1993,,,,64.300000,,63.558409,
1994,,,,62.700000,,61.888994,
1995,59.516896,,57.080002,62.200000,,61.601111,64.014277
1996,60.609554,,57.952695,63.700000,,63.158112,65.664315
1997,59.257591,,56.348555,62.200000,,61.711716,64.295937
1998,59.757014,,56.753725,61.800000,,61.312881,63.906170
1999,60.430573,,57.041771,62.200000,,61.806189,64.438381
2000,56.610450,59.355510,54.102958,59,,58.505987,61.087556
2001,57.983329,60.879537,55.427327,60.500000,,60.108985,62.608723
2002,57.406957,59.902214,54.775402,59.500000,,59.086040,61.698963
2003,59.957970,62.629854,57.145876,62.200000,,61.860749,64.411652
2004,58.438744,61.314758,56.200315,60.700000,,60.251725,63.436312
2005,58.630698,62.085794,56.348354,60.800000,,60.400727,64.427563
2006,58.656697,61.894023,55.623643,60.200000,,59.709786,64.202319
2007,57.509441,61.243199,54.123291,58.900000,,58.631349,63.976392
2008,56.681745,60.189604,53.080415,57.800000,,57.326306,62.566682
2009,51.508673,54.778856,48.195958,52.100000,,51.542247,56.756755
2010,51.710526,54.979814,48.915161,52.400000,57.941404,52.087460,57.340786
2011,51.029337,53.466320,47.356011,50.600000,56.663288,50.253123,56.236488
2012,47.476687,49.707620,,47.100000,50.869517,46.818720,50.975616
2013,45.044553,47.035998,,44,48.201156,43.669621,48.368117
2014,45.342983,47.587405,,44.200000,48.946102,43.791777,48.952967
2015,48.303990,,,46.900000,52.196406,46.717404,52.203199
2016,49.507411,,,47.700000,52.258183,47.178501,52.261144
2017,51.928770,,,49.900000,54.780533,49.580326,54.837276
2018,54.817358,,,48.097980,54.930511,49.534410,54.943592
2019,54.340151,,,49.210130,53.784973,49.310485,53.885105
2020,55.745132,,,49.572270,52.179756,47.335469,50.132131
2021,57.047710,,,49.726490,,48.563856,51.638493
2022,58.818591,,,49.820700,,,
