"Year","BOL production Eora 199.082 (2023)","BOL production GCB 2023v26","BOL consumption Eora 199.082 (2023)","BOL consumption GCB 2023v26"
1970,2.150000,,1.466097,
1971,2.280000,,1.117382,
1972,2.550000,,0.730545,
1973,2.690000,,0.673039,
1974,3.060000,,1.270836,
1975,3.600000,,2.688079,
1976,3.950000,,3.563268,
1977,4.140000,,4.793963,
1978,4.480000,,5.118516,
1979,4.540000,,5.740389,
1980,4.640000,,5.615192,
1981,4.800000,,5.971878,
1982,4.400000,,5.082706,
1983,4.300000,,3.891093,
1984,4.020000,,2.960215,
1985,4.070000,,5.082597,
1986,3.780000,,0.562952,
1987,4.060000,,0.543997,
1988,4.120000,,3.407379,
1989,4.580000,,5.398036,
1990,5.430000,10.006868,5.940957,8.642139
1991,5.740000,10.495215,6.343477,9.152787
1992,6.410000,11.014244,5.972016,9.843147
1993,7.020000,11.550309,1.857488,10.348758
1994,8.190000,9.638258,5.146779,8.563059
1995,8.780000,9.016550,8.373140,8.066319
1996,8.910000,10.016150,8.250380,8.937323
1997,9.150000,11.721163,8.808964,10.940196
1998,8.970000,11.252271,8.732851,10.891668
1999,7.920000,10.939507,7.866380,11.408804
2000,7.830000,8.433878,7.624297,8.688884
2001,7.050000,8.742807,6.867435,8.869486
2002,9.060000,10.403424,8.600486,10.791577
2003,9.740000,10.968004,8.876462,10.189647
2004,9.770000,11.031935,8.580043,9.914613
2005,10.900000,12.312479,9.339499,10.669511
2006,13.500000,12.332331,10.843560,10.979116
2007,11.100000,12.695380,9.161659,11.472356
2008,11.900000,12.965221,9.768308,12.080711
2009,12.600000,13.538143,10.776180,12.566322
2010,13.700000,14.718776,11.234940,13.049831
2011,14.500000,15.948673,11.874260,14.563091
2012,16.900000,17.535340,13.546580,16.246920
2013,17,17.769010,14.136370,17.154520
2014,18.400000,19.887891,14.994680,19.610498
2015,17.100000,19.886526,14.215690,20.373912
2016,17.900000,21.239286,17.362750,21.650189
2017,18.100000,22.171245,17.787550,22.533822
2018,19.876620,22.501642,20.137590,22.617156
2019,20.600460,22.605112,19.320290,22.870807
2020,21.332940,18.326305,20.005130,19.484371
2021,22.070220,21.695220,20.349540,22.241425
2022,22.036340,,20.779610,
