"Year","CIV production GCB 2023v26","CIV consumption GCB 2023v26","CIV net_trade GCB 2023v26"
1990,4.781520,5.958195,1.176675
1991,4.308864,5.580755,1.271891
1992,3.843536,5.819061,1.975525
1993,5.092960,6.569601,1.476641
1994,4.132992,5.449984,1.316992
1995,6.225337,7.398921,1.173584
1996,7.526009,7.227697,-0.298311
1997,7.211238,6.867327,-0.343911
1998,6.755485,8.706865,1.951380
1999,6.091911,6.412831,0.320919
2000,6.633573,6.991724,0.358151
2001,7.649681,6.543661,-1.106020
2002,7.450165,5.262522,-2.187643
2003,5.300525,6.427586,1.127062
2004,7.386261,7.501194,0.114933
2005,7.564355,7.638542,0.074187
2006,6.887238,8.023787,1.136549
2007,6.653270,8.210404,1.557134
2008,6.712605,8.205363,1.492758
2009,5.659943,7.121314,1.461370
2010,6.224746,8.065311,1.840565
2011,6.523170,7.849696,1.326527
2012,8.540010,11.188379,2.648370
2013,9.679770,12.456980,2.777210
2014,9.903225,13.249062,3.345837
2015,9.554745,13.107644,3.552899
2016,11.982747,15.184145,3.201398
2017,12.001905,15.185308,3.183403
2018,10.352434,14.831462,4.479028
2019,10.535081,14.804975,4.269893
2020,11.018607,14.503291,3.484684
2021,11.712662,15.724731,4.012069
2022,,,
