"Year","LVA production EXIOBASE 3.8.2","LVA production WIOD2016","LVA production OECDv2","LVA production Eora 199.082 (2023)","LVA production FIGARO April 2022","LVA production GCB 2023v26","LVA production Eurostat NAMEA"
1970,,,,12.300000,,,
1971,,,,13,,,
1972,,,,14,,,
1973,,,,14.800000,,,
1974,,,,15.700000,,,
1975,,,,16.600000,,,
1976,,,,17.100000,,,
1977,,,,17.700000,,,
1978,,,,18.700000,,,
1979,,,,18.900000,,,
1980,,,,19.400000,,,
1981,,,,19.500000,,,
1982,,,,19.700000,,,
1983,,,,19.900000,,,
1984,,,,19.700000,,,
1985,,,,20.700000,,,
1986,,,,20.400000,,,
1987,,,,21,,,
1988,,,,21.200000,,,
1989,,,,21.200000,,,
1990,,,,19.900000,,19.662721,
1991,,,,18.100000,,17.920696,
1992,,,,14.400000,,14.194646,
1993,,,,12.100000,,11.922756,
1994,,,,10.600000,,10.371239,
1995,10.798796,,8.866551,9.390000,,9.134976,
1996,10.923018,,8.843941,9.470000,,9.212675,
1997,10.743318,,8.374149,8.940000,,8.680906,
1998,10.560502,,8.023189,8.570000,,8.306996,
1999,10.036091,,7.384433,7.990000,,7.718816,
2000,9.447175,8.298488,6.835199,7.360000,,7.082575,8.144488
2001,9.979100,8.794408,7.222248,7.760000,,7.497437,8.814328
2002,10.115137,8.742342,7.220480,7.790000,,7.521355,8.789645
2003,10.147292,8.696480,7.454235,8.010000,,7.726979,8.738853
2004,10.398837,8.721660,7.492287,8.020000,,7.732137,8.764280
2005,10.553277,8.824688,7.563480,8.080000,,7.811700,8.859867
2006,11.434195,9.623162,8.001949,8.640000,,8.310876,9.673931
2007,12.280103,10.389788,8.364278,8.990000,,8.638660,10.454088
2008,11.566359,10.025555,7.930595,8.600000,,8.198938,10.059078
2009,10.135135,8.903694,7.179508,7.810000,,7.456832,8.870743
2010,11.260335,10.362653,8.101166,8.920000,10.193008,8.555267,10.187574
2011,10.445073,9.321036,7.369391,8.180000,9.304022,7.811917,9.305149
2012,9.964803,8.874634,,7.930000,8.899599,7.520586,8.897403
2013,9.925497,8.705476,,7.780000,8.673494,7.369655,8.660932
2014,9.927527,8.695804,,7.600000,8.676057,7.173207,8.662676
2015,10.169290,,,7.700000,8.893315,7.263453,8.900573
2016,9.964986,,,7.660000,8.783040,7.211637,8.797239
2017,10.103721,,,7.670000,9.016572,7.216303,9.030052
2018,10.373664,,,7.803252,9.676837,7.863008,9.693473
2019,10.893513,,,7.711668,9.623944,7.650647,9.612232
2020,12.043338,,,7.616871,8.594374,6.999913,8.167385
2021,9.974035,,,7.529243,,7.240496,8.479199
2022,10.588058,,,7.188902,,,
