"Year","GTM production Eora 199.082 (2023)","GTM production GCB 2023v26","GTM consumption Eora 199.082 (2023)","GTM consumption GCB 2023v26"
1970,2.090000,,1.674934,
1971,2.170000,,1.407183,
1972,2.430000,,1.206981,
1973,2.650000,,1.390222,
1974,2.770000,,1.893767,
1975,3.160000,,2.906440,
1976,3,,3.587636,
1977,3.450000,,5.048042,
1978,3.700000,,5.499427,
1979,4.180000,,6.480198,
1980,4.040000,,6.555941,
1981,3.550000,,5.952048,
1982,3.280000,,4.678279,
1983,2.860000,,3.525309,
1984,3.110000,,3.529837,
1985,3.210000,,5.584032,
1986,3.370000,,1.613275,
1987,3.570000,,1.872816,
1988,3.680000,,4.265592,
1989,3.840000,,5.947221,
1990,4.500000,4.972245,5.997338,6.796380
1991,5.630000,4.951134,7.092082,6.805292
1992,7.560000,5.919209,8.499080,8.097380
1993,7.930000,5.577778,5.471452,7.590572
1994,10.500000,6.751174,9.740277,8.633228
1995,10.300000,7.078550,12.133020,9.177172
1996,8.920000,6.571124,10.726930,8.816177
1997,9.710000,7.501859,11.585060,10.202811
1998,10.600000,8.639397,12.189970,12.112910
1999,10.400000,8.805825,11.804360,12.099914
2000,10.900000,9.764762,12.187900,23.003415
2001,11.400000,10.233260,12.978320,8.775986
2002,11.800000,10.721662,13.455390,9.313862
2003,11.200000,10.447951,13.357060,9.112896
2004,12,11.180307,14.178220,9.477855
2005,12.800000,12.109271,15.073500,10.165283
2006,12.900000,12.176554,15.554280,11.197761
2007,12.800000,12.144909,15.755510,10.925773
2008,11.700000,10.893166,15.009970,10.049945
2009,12,11.442047,14.846080,10.064259
2010,12,11.097682,15.149540,10.330041
2011,12.200000,11.237312,15.735310,9.568168
2012,12.400000,11.576644,15.927620,9.632014
2013,13.900000,12.811682,17.352220,10.733613
2014,18.500000,13.827098,21.123260,11.402696
2015,16.400000,15.951887,19.310620,13.434035
2016,17,16.926494,21.534370,14.249292
2017,16.900000,17.320534,21.974010,15.319442
2018,17.840520,18.500795,23.705230,23.122156
2019,18.628270,19.501705,23.492860,23.888978
2020,19.526950,17.336898,24.570870,21.425160
2021,20.533350,19.647935,24.961630,24.162499
2022,21.405440,,25.363100,
