"Year","SUR production Eora 199.082 (2023)"
1970,1.740000
1971,1.810000
1972,1.820000
1973,2.210000
1974,1.700000
1975,2.080000
1976,2.080000
1977,1.990000
1978,2.500000
1979,2.390000
1980,2.470000
1981,2.100000
1982,1.950000
1983,1.440000
1984,1.600000
1985,1.650000
1986,1.810000
1987,1.770000
1988,1.900000
1989,1.910000
1990,1.830000
1991,2.110000
1992,2.130000
1993,2.100000
1994,2.090000
1995,2.120000
1996,2.140000
1997,2.170000
1998,2.160000
1999,2.140000
2000,2.230000
2001,2.370000
2002,1.570000
2003,1.540000
2004,1.560000
2005,1.600000
2006,1.750000
2007,1.760000
2008,1.940000
2009,2
2010,2.400000
2011,1.970000
2012,2.250000
2013,1.910000
2014,1.980000
2015,2.340000
2016,2.460000
2017,2.480000
2018,2.559145
2019,2.601478
2020,2.647980
2021,2.786304
2022,2.242526
