"Year","CIV production GCB 2023v26"
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,4.781520
1991,4.308864
1992,3.843536
1993,5.092960
1994,4.132992
1995,6.225337
1996,7.526009
1997,7.211238
1998,6.755485
1999,6.091911
2000,6.633573
2001,7.649681
2002,7.450165
2003,5.300525
2004,7.386261
2005,7.564355
2006,6.887238
2007,6.653270
2008,6.712605
2009,5.659943
2010,6.224746
2011,6.523170
2012,8.540010
2013,9.679770
2014,9.903225
2015,9.554745
2016,11.982747
2017,12.001905
2018,10.352434
2019,10.535081
2020,11.018607
2021,11.712662
2022,
