"Year","TJK production Eora 199.082 (2023)","TJK production GCB 2023v26"
1970,9.020000,
1971,9.690000,
1972,10.300000,
1973,11,
1974,11.600000,
1975,12.400000,
1976,12.900000,
1977,13.500000,
1978,14.100000,
1979,14.400000,
1980,14.800000,
1981,15.100000,
1982,15.400000,
1983,15.900000,
1984,16.100000,
1985,17,
1986,16.900000,
1987,17.900000,
1988,18.400000,
1989,18.300000,
1990,17.800000,11.965114
1991,17.400000,9.658038
1992,14.300000,7.308103
1993,12,5.170596
1994,6.860000,2.355098
1995,4.840000,2.445277
1996,3.370000,2.823798
1997,3.500000,2.150084
1998,2.660000,2.496671
1999,2.750000,2.517199
2000,2.680000,2.233862
2001,2.900000,2.287606
2002,2.750000,1.877243
2003,2.920000,2.070857
2004,3.450000,2.560492
2005,2.800000,2.439487
2006,3.620000,2.655168
2007,2.680000,3.227096
2008,2.670000,2.896020
2009,2.140000,2.443974
2010,2.040000,2.536415
2011,1.810000,2.340736
2012,2.100000,2.933412
2013,2.570000,2.906893
2014,3.540000,4.600122
2015,3.100000,5.302282
2016,3.110000,5.692501
2017,3.070000,6.858048
2018,3.976456,8.060483
2019,4.037132,8.856778
2020,4.193840,9.298944
2021,4.274408,9.971469
2022,6.692428,
