"Year","CMR production Eora 199.082 (2023)","CMR production GCB 2023v26","CMR consumption Eora 199.082 (2023)","CMR consumption GCB 2023v26","CMR net_trade Eora 199.082 (2023)","CMR net_trade GCB 2023v26"
1970,1.210000,,0.310307,,-0.899693,
1971,1.390000,,0.158776,,-1.231224,
1972,1.430000,,-0.164660,,-1.594660,
1973,1.490000,,-0.192003,,-1.682003,
1974,1.580000,,-0.002756,,-1.582756,
1975,1.790000,,0.745826,,-1.044174,
1976,1.730000,,1.088053,,-0.641947,
1977,2.240000,,2.364196,,0.124196,
1978,2.670000,,2.896467,,0.226467,
1979,2.520000,,3.293890,,0.773890,
1980,4.600000,,5.316988,,0.716988,
1981,6.100000,,6.481505,,0.381505,
1982,7.120000,,7.089145,,-0.030855,
1983,9.530000,,8.864575,,-0.665425,
1984,9.400000,,8.511291,,-0.888709,
1985,9.460000,,9.872535,,0.412535,
1986,6.100000,,3.681779,,-2.418221,
1987,5.480000,,2.923209,,-2.556791,
1988,3.460000,,3.245749,,-0.214251,
1989,10.100000,,10.550900,,0.450900,
1990,4.300000,2.604793,5.151750,3.055164,0.851750,0.450371
1991,3.680000,2.668440,4.447214,3.105551,0.767214,0.437111
1992,6.370000,2.712299,6.186132,3.286373,-0.183868,0.574075
1993,6.760000,2.865801,2.696480,3.455746,-4.063520,0.589946
1994,12.100000,4.879764,8.878338,5.145279,-3.221662,0.265515
1995,12.500000,5.374671,11.523870,5.615339,-0.976130,0.240668
1996,12.300000,5.974660,11.346190,6.111460,-0.953810,0.136800
1997,10.900000,5.378781,10.155050,6.057954,-0.744950,0.679173
1998,10.900000,5.373172,10.243490,6.088345,-0.656510,0.715173
1999,10.800000,5.219450,10.135570,5.144557,-0.664430,-0.074892
2000,10.900000,5.588569,10.016520,6.185098,-0.883480,0.596528
2001,10.600000,5.562424,9.952701,6.881539,-0.647299,1.319115
2002,10,5.350642,9.518021,7.606111,-0.481979,2.255469
2003,10.200000,5.704622,9.928386,6.438918,-0.271614,0.734296
2004,10.600000,5.698455,10.455040,6.165882,-0.144960,0.467427
2005,10.500000,5.423858,10.399630,6.267820,-0.100370,0.843962
2006,10.800000,5.485919,10.581040,6.242424,-0.218960,0.756505
2007,12.700000,7.409373,12.421890,7.452115,-0.278110,0.042742
2008,12.700000,7.320619,12.700520,7.753569,0.000520,0.432950
2009,13.900000,8.554963,14.027940,9.705278,0.127940,1.150315
2010,13.100000,8.383322,13.285140,9.614666,0.185140,1.231344
2011,11.700000,8.105014,12.128280,9.296383,0.428280,1.191369
2012,12,7.603374,12.528110,9.852804,0.528110,2.249430
2013,12.800000,7.849517,13.402240,9.620440,0.602240,1.770923
2014,13,8.771510,13.505230,10.597958,0.505230,1.826449
2015,13.800000,9.850663,14.289150,11.136914,0.489150,1.286251
2016,14.300000,9.958010,15.243460,11.525066,0.943460,1.567056
2017,14.200000,9.578064,14.805210,11.219994,0.605210,1.641931
2018,14.934610,9.645489,16.706170,10.412311,1.771560,0.766822
2019,15.509690,9.591827,17.189070,10.181406,1.679380,0.589579
2020,16.114780,9.701611,17.802760,10.546998,1.687980,0.845387
2021,16.722120,10.285467,18.159290,11.109399,1.437170,0.823932
2022,16.178250,,17.679560,,1.501310,
