"Year","BHS production Eora 199.082 (2023)"
1970,2.790000
1971,6.950000
1972,6.710000
1973,8.100000
1974,7.620000
1975,8.490000
1976,6.710000
1977,9.970000
1978,6.860000
1979,7.180000
1980,8.240000
1981,3.070000
1982,2.540000
1983,2.300000
1984,2.170000
1985,1.810000
1986,1.710000
1987,1.730000
1988,1.850000
1989,2.270000
1990,2.270000
1991,2.110000
1992,2.130000
1993,2.040000
1994,2.040000
1995,2.030000
1996,2.030000
1997,1.730000
1998,2.050000
1999,2.050000
2000,2.050000
2001,1.960000
2002,1.970000
2003,1.920000
2004,2.130000
2005,2.150000
2006,2.080000
2007,2.110000
2008,1.920000
2009,2.070000
2010,2.090000
2011,2.310000
2012,2.420000
2013,3.260000
2014,2.870000
2015,2.930000
2016,3.010000
2017,3
2018,2.918998
2019,2.993174
2020,3.066947
2021,3.141452
2022,3.016915
