"Year","BGR production EXIOBASE 3.8.2","BGR production WIOD2016","BGR production OECDv2","BGR production Eora 199.082 (2023)","BGR production FIGARO April 2022","BGR production GCB 2023v26","BGR production Eurostat NAMEA","BGR consumption EXIOBASE 3.8.2","BGR consumption WIOD2016","BGR consumption OECDv2","BGR consumption Eora 199.082 (2023)","BGR consumption FIGARO April 2022","BGR consumption GCB 2023v26"
1970,,,,68.900000,,,,,,,67.807000,,
1971,,,,71.500000,,,,,,,69.927500,,
1972,,,,73.600000,,,,,,,71.441100,,
1973,,,,75.700000,,,,,,,72.893010,,
1974,,,,77.400000,,,,,,,73.095370,,
1975,,,,79.500000,,,,,,,75.537770,,
1976,,,,80.100000,,,,,,,77.750050,,
1977,,,,82.200000,,,,,,,83.119430,,
1978,,,,87,,,,,,,88.145600,,
1979,,,,84.900000,,,,,,,87.081330,,
1980,,,,82.900000,,,,,,,93.011040,,
1981,,,,85.400000,,,,,,,95.848470,,
1982,,,,94.200000,,,,,,,101.925700,,
1983,,,,94.500000,,,,,,,99.392680,,
1984,,,,92.300000,,,,,,,89.035440,,
1985,,,,94.500000,,,,,,,103.104400,,
1986,,,,95.500000,,,,,,,41.449050,,
1987,,,,94.600000,,,,,,,41.530750,,
1988,,,,89.900000,,,,,,,74.900530,,
1989,,,,88.200000,,,,,,,82.617730,,
1990,,,,76.700000,,76.637986,,,,,62.567210,,61.325553
1991,,,,61.400000,,61.456343,,,,,36.810490,,44.701413
1992,,,,57.400000,,57.306464,,,,,36.540140,,42.185540
1993,,,,58.900000,,58.364024,,,,,39.084000,,45.458517
1994,,,,56.900000,,56.367039,,,,,36.392930,,41.592804
1995,57.307314,,53.246539,58.100000,,57.908989,,40.233886,,28.293328,39.884070,,46.560198
1996,57.789416,,53.915553,58.900000,,58.460097,,37.945092,,30.902793,34.124330,,48.864012
1997,55.562433,,51.141813,56.500000,,55.809073,,37.372799,,25.977471,32.162890,,46.592669
1998,52.634627,,48.804687,53.800000,,53.115147,,42.239585,,29.107673,33.816500,,45.902225
1999,46.536880,,42.874563,47.300000,,46.318478,,39.951947,,31.065433,32.547060,,41.549247
2000,45.317829,49.593497,42.315665,46.100000,,45.413457,,37.050797,52.073934,27.174453,30.727960,,42.413902
2001,47.790324,52.679446,44.959522,49.600000,,48.921856,,38.991726,55.925529,30.006929,35.052300,,45.394805
2002,45.213208,49.072235,42.177158,46.700000,,46.099354,,39.162289,51.966205,27.745658,33.724030,,43.230768
2003,49.508725,53.866698,46.471981,51.100000,,50.473675,,43.197759,54.666253,32.197749,38.429530,,46.292945
2004,49.024826,53.128324,45.633811,49.900000,,49.525775,,42.513430,51.065069,32.152201,38.832190,,45.754240
2005,49.762307,54.312516,46.231451,51,,50.598174,,45.133887,51.212735,37.651203,40.447960,,48.520752
2006,50.792212,55.343697,47.464550,52,,51.836629,,48.797815,52.024685,36.347926,40.480290,,50.901810
2007,54.516666,59.252810,50.726327,56.200000,,55.683720,,58.354092,53.875133,43.245645,44.346470,,54.027269
2008,50.749540,53.972795,48.576867,54,,54.022471,55.576992,54.287973,51.419564,43.178469,43.486570,,55.000459
2009,43.617445,45.707143,42.085176,45.800000,,45.759653,47.189855,42.149233,44.953820,39.173621,38.635830,,44.904420
2010,45.393201,47.792803,44.141685,48,49.118164,47.808404,49.115750,39.727886,41.635814,34.817905,37.281020,40.373980,44.937683
2011,50.286391,53.116467,49.046102,53.300000,54.424199,53.124754,54.421913,40.848688,42.474947,37.698922,38.919670,40.944461,46.947558
2012,45.551849,48.269492,,48.600000,49.587170,48.289982,49.584418,38.734407,40.427082,,36.059910,38.436583,43.875561
2013,40.480304,42.586000,,42.600000,43.782360,42.586730,43.779336,33.556230,35.353686,,31.755250,33.729963,38.190107
2014,42.539995,45.142471,,45.100000,46.423354,45.161790,46.471696,35.032037,36.949647,,32.439850,35.781208,38.875907
2015,44.811237,,,48.100000,49.651758,48.121015,49.634902,36.115779,,,34.634960,36.687535,40.521495
2016,42.153102,,,45.300000,47.118846,45.336946,47.098145,33.908840,,,42.450300,34.322436,39.543943
2017,44.310348,,,47.400000,49.267703,47.430591,49.251534,33.384082,,,43.408690,36.165712,41.066502
2018,41.603429,,,45.980840,45.278445,43.479638,45.253320,29.187662,,,48.291060,36.269013,40.623156
2019,40.132822,,,46.220010,43.882235,42.232711,43.910780,30.764852,,,47.314690,36.382484,39.596691
2020,40.826992,,,46.166180,39.214482,36.533613,38.409028,29.280296,,,47.892010,33.174308,35.889719
2021,37.239697,,,46.059180,,42.281884,43.776181,24.975433,,,47.159140,,40.548778
2022,43.189992,,,42.235910,,,,30.767976,,,43.794110,,
