"Year","SWE production EXIOBASE 3.8.2","SWE production WIOD2016","SWE production OECDv2","SWE production Eora 199.082 (2023)","SWE production FIGARO April 2022","SWE production GCB 2023v26","SWE production SCB 2023 (official)","SWE production Eurostat NAMEA","SWE consumption EXIOBASE 3.8.2","SWE consumption WIOD2016","SWE consumption OECDv2","SWE consumption Eora 199.082 (2023)","SWE consumption FIGARO April 2022","SWE consumption GCB 2023v26","SWE consumption SCB 2023 (official)","SWE net_trade EXIOBASE 3.8.2","SWE net_trade WIOD2016","SWE net_trade OECDv2","SWE net_trade Eora 199.082 (2023)","SWE net_trade FIGARO April 2022","SWE net_trade GCB 2023v26","SWE net_trade SCB 2023 (official)"
1970,,,,103,,,,,,,,96.015420,,,,,,,-6.984580,,,
1971,,,,94.300000,,,,,,,,86.335220,,,,,,,-7.964780,,,
1972,,,,95.100000,,,,,,,,85.941450,,,,,,,-9.158550,,,
1973,,,,98.800000,,,,,,,,89.093330,,,,,,,-9.706670,,,
1974,,,,91.300000,,,,,,,,85.460900,,,,,,,-5.839100,,,
1975,,,,90.500000,,,,,,,,86.285700,,,,,,,-4.214300,,,
1976,,,,98.400000,,,,,,,,95.538950,,,,,,,-2.861050,,,
1977,,,,95.200000,,,,,,,,95.182390,,,,,,,-0.017610,,,
1978,,,,88.600000,,,,,,,,88.653630,,,,,,,0.053630,,,
1979,,,,94.900000,,,,,,,,100.386700,,,,,,,5.486700,,,
1980,,,,81.500000,,,,,,,,91.074270,,,,,,,9.574270,,,
1981,,,,78,,,,,,,,82.965780,,,,,,,4.965780,,,
1982,,,,69.900000,,,,,,,,74.547630,,,,,,,4.647630,,,
1983,,,,65.600000,,,,,,,,68.550310,,,,,,,2.950310,,,
1984,,,,65.300000,,,,,,,,68.200220,,,,,,,2.900220,,,
1985,,,,70.300000,,,,,,,,80.703420,,,,,,,10.403420,,,
1986,,,,69.600000,,,,,,,,63.390430,,,,,,,-6.209570,,,
1987,,,,67.100000,,,,,,,,63.539290,,,,,,,-3.560710,,,
