"Year","RWA production Eora 199.082 (2023)","RWA production GCB 2023v26"
1970,0.070100,
1971,0.074100,
1972,0.078200,
1973,0.078500,
1974,0.082600,
1975,0.189000,
1976,0.282000,
1977,0.282000,
1978,0.304000,
1979,0.312000,
1980,0.514000,
1981,0.618000,
1982,0.629000,
1983,0.714000,
1984,0.649000,
1985,0.631000,
1986,0.642000,
1987,0.629000,
1988,0.714000,
1989,0.702000,
1990,0.556000,0.523864
1991,0.504000,0.472136
1992,0.506000,0.479486
1993,0.508000,0.482945
1994,0.490000,0.462123
1995,0.482000,0.454761
1996,0.498000,0.464039
1997,0.513000,0.482528
1998,0.504000,0.481522
1999,0.530000,0.502618
2000,0.546000,0.515133
2001,0.545000,0.522378
2002,0.548000,0.518871
2003,0.537000,0.509100
2004,0.544000,0.515760
2005,0.545000,0.514186
2006,0.545000,0.514417
2007,0.568000,0.542177
2008,0.558000,0.527819
2009,0.585000,0.558260
2010,0.601000,0.580977
2011,0.673000,0.643581
2012,0.743000,0.718466
2013,0.807000,0.782275
2014,0.852000,0.829804
2015,0.918000,0.970183
2016,0.973000,1.048333
2017,1.030000,1.155068
2018,1.166046,1.287400
2019,1.294101,1.372734
2020,1.445208,1.371813
2021,1.616641,1.550594
2022,1.462446,
