"Year","SLV production Eora 199.082 (2023)","SLV production GCB 2023v26","SLV consumption Eora 199.082 (2023)","SLV consumption GCB 2023v26"
1970,1.620000,,1.146884,
1971,1.760000,,0.952861,
1972,1.930000,,0.655348,
1973,2.230000,,0.739045,
1974,2.230000,,0.776665,
1975,2.370000,,1.348387,
1976,2.500000,,1.796120,
1977,2.570000,,2.472931,
1978,2.740000,,2.605977,
1979,2.620000,,2.713787,
1980,2.350000,,2.461123,
1981,2.170000,,2.336001,
1982,2,,2.025412,
1983,2.190000,,1.802542,
1984,1.840000,,1.296585,
1985,2.250000,,2.876100,
1986,2.250000,,0.083782,
1987,2.710000,,0.409281,
1988,2.730000,,2.499837,
1989,2.830000,,4.019481,
1990,2.720000,2.475071,3.976597,4.106930
1991,3.400000,3.154717,4.589171,4.691854
1992,3.560000,3.316777,4.111145,5.010621
1993,3.990000,3.975594,1.268853,5.439394
1994,4.790000,4.512672,3.879699,6.054903
1995,5.170000,4.998356,6.760328,6.631704
1996,4.740000,4.414490,6.143697,6.112373
1997,5.750000,5.415735,7.107145,7.240233
1998,6,5.731188,7.881833,8.165088
1999,5.890000,5.587859,7.820327,7.912412
2000,5.900000,5.670975,8.296348,8.305002
2001,6.110000,5.857395,8.381854,8.327846
2002,6.140000,6.069883,8.402465,8.282545
2003,6.590000,6.434851,8.865313,8.441736
2004,6.490000,6.253812,8.840887,7.994433
2005,6.600000,6.297707,9.008833,8.254552
2006,7.020000,6.717812,9.675449,9.152231
2007,7.150000,6.845580,10.164910,9.128301
2008,6.760000,6.404717,9.910647,8.878530
2009,6.680000,6.312459,9.409287,7.902685
2010,6.730000,6.318629,9.650948,7.922372
2011,6.960000,6.499405,10.103190,8.382626
2012,7.060000,6.471882,10.355300,7.945578
2013,6.560000,6.094472,10.013250,7.895433
2014,6.650000,6.151155,10.164590,7.978809
2015,8.270000,6.667772,11.463720,8.598741
2016,8.610000,6.595795,10.758370,8.492574
2017,8.570000,5.969700,10.667740,7.847704
2018,8.746417,6.262603,11.159060,8.759291
2019,9.042406,7.549650,11.296490,9.505613
2020,9.340113,6.594499,11.920510,8.596407
2021,9.643020,7.470958,11.868950,9.587318
2022,9.390686,,11.750850,
