"Year","ETH production Eora 199.082 (2023)","ETH production GCB 2023v26","ETH consumption Eora 199.082 (2023)","ETH consumption GCB 2023v26"
1970,1.330000,,0.836379,
1971,1.490000,,0.617120,
1972,1.160000,,-0.227351,
1973,1.390000,,-0.206955,
1974,1.380000,,-0.156376,
1975,1,,0.003947,
1976,0.981000,,0.326675,
1977,0.857000,,1.000743,
1978,1.100000,,1.201834,
1979,1.460000,,1.918457,
1980,1.450000,,1.948870,
1981,1.490000,,1.985079,
1982,1.220000,,1.484340,
1983,1.490000,,1.235985,
1984,1.380000,,0.859694,
1985,1.480000,,2.307077,
1986,1.790000,,-1.285961,
1987,2.090000,,-1.575770,
1988,2.170000,,1.518825,
1989,2.290000,,3.239387,
1990,2.500000,2.986507,3.406325,3.934315
1991,2.060000,2.958472,3.027500,3.984601
1992,2.200000,2.936737,2.197954,4.068311
1993,2.520000,2.993623,-1.738820,4.073545
1994,2.460000,2.197201,-0.133315,3.362753
1995,2.350000,2.505953,0.734773,3.701502
1996,2.620000,2.794189,0.809420,3.964761
1997,3.020000,2.980158,0.826851,4.403542
1998,3.150000,3.147422,0.744356,5.166430
1999,3.330000,3.094276,0.771681,5.045314
2000,3.600000,3.462855,0.515411,3.807984
2001,4.470000,4.264586,0.785632,4.429703
2002,4.640000,4.431687,0.812242,3.856439
2003,5.120000,4.870232,0.903276,4.072728
2004,5.480000,5.158551,1.046197,4.120096
2005,6.820000,4.956129,1.242234,4.071546
2006,6.600000,5.318177,1.516746,4.508660
2007,9.310000,5.839596,1.608539,4.825596
2008,8.590000,6.417597,1.920307,5.337965
2009,9.290000,6.453445,1.971785,5.606551
2010,11.400000,6.336871,2.083717,5.021090
2011,9.910000,7.402480,2.232288,5.518743
2012,10.100000,8.108686,2.414058,7.488149
2013,11.600000,9.781029,2.355402,8.263508
2014,12.800000,12.016546,2.343678,10.571441
2015,13.800000,12.696406,2.374525,11.437085
2016,13.900000,14.424923,11.198520,13.135399
2017,14.600000,15.583688,11.503710,20.235285
2018,15.803020,15.988957,10.957640,19.548466
2019,16.659260,16.674991,11.104410,20.192380
2020,17.545150,17.810122,11.217450,21.049366
2021,18.474360,18.888683,11.353950,22.648198
2022,19.364970,,11.736300,
