"Year","MOZ production Eora 199.082 (2023)","MOZ production GCB 2023v26"
1970,3.030000,
1971,3.660000,
1972,3.350000,
1973,3.620000,
1974,3.210000,
1975,2.950000,
1976,2.620000,
1977,2.770000,
1978,2.930000,
1979,2.710000,
1980,3.280000,
1981,2.560000,
1982,2.600000,
1983,2.040000,
1984,1.600000,
1985,1.190000,
1986,1.030000,
1987,1.030000,
1988,1.060000,
1989,1.090000,
1990,1.070000,1.025376
1991,1.080000,0.941464
1992,1.060000,1.027206
1993,1.140000,1.140326
1994,1.120000,1.098034
1995,1.180000,1.130973
1996,1.100000,1.091814
1997,1.180000,1.170237
1998,1.190000,1.111895
1999,1.310000,1.168343
2000,1.490000,1.321945
2001,2.060000,1.553994
2002,2.060000,1.537057
2003,2.600000,1.855414
2004,2.830000,1.863973
2005,2.750000,1.769683
2006,2.910000,1.915622
2007,3.180000,2.188865
2008,3.120000,2.179933
2009,3.400000,2.439006
2010,3.610000,2.634548
2011,4.100000,3.106628
2012,3.970000,3.054738
2013,5.150000,3.581790
2014,9.600000,8.122090
2015,10.100000,6.730608
2016,10.100000,8.547341
2017,10.700000,6.905362
2018,9.600929,7.010169
2019,8.780222,7.101099
2020,10.185780,6.376114
2021,10.618820,7.181195
2022,13.504080,
