"Year","CMR production Eora 199.082 (2023)","CMR production GCB 2023v26"
1970,1.210000,
1971,1.390000,
1972,1.430000,
1973,1.490000,
1974,1.580000,
1975,1.790000,
1976,1.730000,
1977,2.240000,
1978,2.670000,
1979,2.520000,
1980,4.600000,
1981,6.100000,
1982,7.120000,
1983,9.530000,
1984,9.400000,
1985,9.460000,
1986,6.100000,
1987,5.480000,
1988,3.460000,
1989,10.100000,
1990,4.300000,2.604793
1991,3.680000,2.668440
1992,6.370000,2.712299
1993,6.760000,2.865801
1994,12.100000,4.879764
1995,12.500000,5.374671
1996,12.300000,5.974660
1997,10.900000,5.378781
1998,10.900000,5.373172
1999,10.800000,5.219450
2000,10.900000,5.588569
2001,10.600000,5.562424
2002,10,5.350642
2003,10.200000,5.704622
2004,10.600000,5.698455
2005,10.500000,5.423858
2006,10.800000,5.485919
2007,12.700000,7.409373
2008,12.700000,7.320619
2009,13.900000,8.554963
2010,13.100000,8.383322
2011,11.700000,8.105014
2012,12,7.603374
2013,12.800000,7.849517
2014,13,8.771510
2015,13.800000,9.850663
2016,14.300000,9.958010
2017,14.200000,9.578064
2018,14.934610,9.645489
2019,15.509690,9.591827
2020,16.114780,9.701611
2021,16.722120,10.285467
2022,16.178250,
