"Year","LBN production Eora 199.082","LBN consumption Eora 199.082"
1990,5.970000,8.531656
1991,7.410000,10.837272
1992,7.970000,13.381891
1993,11.370000,21.929400
1994,12.500000,23.101874
1995,14.470000,19.825078
1996,15.020000,28.703673
1997,16.500000,21.214745
1998,16.380000,20.436161
1999,16.890000,20.781691
2000,15.240000,18.978654
2001,16.460000,20.782768
2002,16.400000,20.252537
2003,16.400000,20.950216
2004,16.600000,21.609519
2005,16.530000,21.298208
2006,15.570000,20.866370
2007,14.150000,18.923889
2008,17.740000,22.821410
2009,21.480000,26.850561
2010,20.570000,26.784317
2011,20.890000,27.645296
2012,23.370000,30.286708
2013,23.010000,29.721506
2014,24.610000,30.795457
2015,24.990000,31.095449
2016,25.700000,30.238025
2017,27.080000,32.332155
2018,26.744909,32.908461
2019,27.437067,33.373495
2020,28.325607,35.858296
2021,31.861128,38.520722
2022,,
