"Year","UGA production Eora 199.082 (2023)","UGA production GCB 2023v26","UGA consumption Eora 199.082 (2023)","UGA consumption GCB 2023v26","UGA net_trade Eora 199.082 (2023)","UGA net_trade GCB 2023v26"
1970,1.480000,,1.065324,,-0.414676,
1971,1.470000,,0.722272,,-0.747728,
1972,1.410000,,0.192314,,-1.217686,
1973,1.210000,,-0.134075,,-1.344075,
1974,1.230000,,0.079226,,-1.150774,
1975,1.170000,,0.542340,,-0.627660,
1976,1.030000,,0.799505,,-0.230495,
1977,0.842000,,1.696913,,0.854913,
1978,0.737000,,2.056885,,1.319885,
1979,0.713000,,4.602434,,3.889434,
1980,0.667000,,5.997104,,5.330104,
1981,0.569000,,2.396572,,1.827572,
1982,0.589000,,1.311230,,0.722230,
1983,0.659000,,0.497713,,-0.161287,
1984,0.628000,,0.235164,,-0.392836,
1985,0.666000,,1.590676,,0.924676,
1986,0.753000,,-2.056874,,-2.809874,
1987,0.821000,,-2.018049,,-2.839049,
1988,0.918000,,0.547745,,-0.370255,
1989,0.858000,,1.768629,,0.910629,
1990,0.815000,0.760855,1.524182,1.533203,0.709182,0.772348
1991,0.837000,0.779805,1.563357,1.558133,0.726357,0.778328
1992,0.846000,0.797791,0.791974,1.610914,-0.054026,0.813123
1993,0.841000,0.797457,-2.711639,1.783593,-3.552639,0.986136
1994,0.771000,0.708177,-0.791894,1.723793,-1.562894,1.015616
1995,0.999000,0.925485,2.012865,1.964969,1.013865,1.039484
1996,1.110000,1.018092,2.136133,1.719739,1.026133,0.701647
1997,1.150000,1.061946,2.231167,1.845036,1.081167,0.783090
1998,1.310000,1.208757,2.425303,2.532505,1.115303,1.323748
1999,1.360000,1.254724,2.458627,2.657307,1.098627,1.402583
2000,1.480000,1.360870,2.591625,2.844736,1.111625,1.483866
2001,1.550000,1.417088,2.766549,2.841414,1.216549,1.424326
2002,1.600000,1.446221,2.835405,2.952667,1.235405,1.506446
2003,1.640000,1.512626,3.022609,2.739695,1.382609,1.227069
2004,1.780000,1.607486,3.386888,2.968853,1.606888,1.361367
2005,2.200000,2.017931,4.001608,3.553502,1.801608,1.535572
2006,2.570000,2.383386,4.749894,4.041321,2.179894,1.657935
2007,2.920000,2.709990,5.333719,4.522141,2.413719,1.812151
2008,3.160000,2.779614,5.987519,4.782507,2.827519,2.002893
2009,3.350000,2.999798,6.222211,5.422630,2.872211,2.422832
2010,3.870000,3.569619,6.994624,5.956025,3.124624,2.386407
2011,4.180000,3.824069,7.509004,6.515943,3.329004,2.691874
2012,3.960000,3.626987,7.402804,5.930505,3.442804,2.303518
2013,4.760000,3.754530,8.129957,6.018699,3.369957,2.264168
2014,5.110000,4.089666,8.582340,6.532277,3.472340,2.442612
2015,5.210000,4.525570,8.614865,6.749534,3.404865,2.223964
2016,5.490000,4.795435,8.612531,6.974831,3.122531,2.179396
2017,5.710000,5.387882,8.964889,7.701296,3.254889,2.313415
2018,6.279492,5.523001,10.501530,7.764578,4.222038,2.241577
2019,6.726795,5.731925,10.731830,7.969250,4.005035,2.237325
2020,7.332838,5.538408,11.219170,7.592053,3.886332,2.053645
2021,7.907952,6.039968,11.690350,8.399413,3.782398,2.359445
2022,7.911919,,11.707710,,3.795791,
