"Year","DZA production Eora 199.082 (2023)","DZA consumption Eora 199.082 (2023)"
1970,15.500000,15.620880
1971,19.200000,18.891240
1972,28.900000,27.364470
1973,38.900000,35.557350
1974,32.500000,29.154100
1975,32.600000,32.899940
1976,39.600000,39.362380
1977,42.300000,45.336640
1978,63.100000,62.739080
1979,46.200000,48.539990
1980,67,62.370730
1981,47.100000,50.904300
1982,41,46.852420
1983,54.100000,56.418570
1984,72.700000,71.568060
1985,74.600000,77.849440
1986,78.300000,69.988410
1987,86.200000,72.107930
1988,86,80.816490
1989,81.700000,77.354080
1990,78.500000,64.534880
1991,81.200000,55.666680
1992,82.300000,57.598290
1993,84.300000,59.266000
1994,88,60.118640
1995,96.700000,62.702400
1996,98.100000,58.829250
1997,89,53.626860
1998,109,66.757220
1999,93.900000,55.641860
2000,89.900000,46.103880
2001,86.300000,46.213010
2002,92.100000,49.464370
2003,93.700000,49.270880
2004,90.600000,47.860260
2005,109,52.080680
2006,103,46.640460
2007,111,50.902590
2008,112,54.503270
2009,123,70.450920
2010,121,68.077790
2011,123,68.165680
2012,131,72.685450
2013,135,77.539120
2014,146,82.257190
2015,152,90.391820
2016,151,141.829300
2017,151,140.334000
2018,162.947800,145.639900
2019,168.683900,145.729900
2020,174.100200,153.940400
2021,178.351200,150.940000
2022,166.825100,144.681900
