"Year","FJI production Eora 199.082 (2023)"
1970,0.526000
1971,0.552000
1972,0.586000
1973,0.637000
1974,0.678000
1975,0.626000
1976,0.491000
1977,0.773000
1978,0.717000
1979,0.846000
1980,0.802000
1981,1.090000
1982,0.845000
1983,0.718000
1984,0.587000
1985,0.582000
1986,0.608000
1987,0.482000
1988,0.560000
1989,0.636000
1990,0.813000
1991,0.673000
1992,0.747000
1993,0.750000
1994,0.749000
1995,0.765000
1996,0.824000
1997,0.797000
1998,0.768000
1999,0.785000
2000,0.839000
2001,1.060000
2002,0.891000
2003,1.050000
2004,1.350000
2005,1.090000
2006,1.210000
2007,1.160000
2008,0.900000
2009,0.794000
2010,1.220000
2011,1.080000
2012,1.050000
2013,1.150000
2014,1.290000
2015,1.350000
2016,1.530000
2017,1.580000
2018,1.784415
2019,1.857057
2020,1.943421
2021,2.040568
2022,1.279961
