"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
2000,-0.458003,0,0,0,0,0,0.001451,0
2001,-0.461127,0.010765,0,0,0,0,0.001053,0
2002,-0.450728,0.007762,0,0,0,0,0.001009,0
2003,-0.467758,0.007648,0,0,0,0,0.001142,0
2004,-0.466769,0.007590,0,0,0,0,0.001549,0
2005,-0.395066,0.006571,0,0,0,0,0.001556,0
2006,-0.384789,0.006066,0,0,0,0,0.000978,0
2007,-0.385734,0.004377,0,0,0,0,0.000061,0
2008,-0.387729,0.004198,0,0,0,0,0.000062,0
2009,-0.288093,0.003781,0,0,0,0,0.000629,0
2010,-0.377597,0.003357,0,0,0,0,0.002027,0
2011,-0.394082,0.002347,0,0,0,0,0.001859,0
2012,-0.390834,0.001685,0,0,0,0,0.002036,0
2013,-0.395430,0.001109,0,0,0,0,0.002099,0
2014,-0.386765,0.000699,0,0,0,0,0.002185,0
2015,-1.709667,0.000279,0,0,0,0,0.002102,0
2016,-1.530539,0.000273,0,0,0,0,0.001902,0
2017,-1.344951,0.002144,0,0,0,0,0.002050,0
2018,-1.342133,0,0,0,0,0,0.001752,0
2019,-1.337225,0,0,0,0,0,0.001962,0
2020,-1.271838,0,0,0,0,0,0.001917,0
2021,-1.279228,0,0,0,0,0,0.001873,0
2022,-1.279484,0,0,0,0,0,0.001830,0
