"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
2000,2.678935,2.305424,0.632822,0.141836,0.055405,-0.456553
2001,2.822298,2.461360,0.669611,0.082405,0.058232,-0.449309
2002,2.897587,2.517430,0.679128,0.082268,0.060717,-0.441956
2003,3.053875,2.651594,0.716391,0.081683,0.063174,-0.458968
2004,3.118556,2.676671,0.750252,0.083680,0.065583,-0.457630
2005,3.419923,2.863765,0.759832,0.083761,0.099506,-0.386940
2006,3.806018,3.229265,0.782607,0.085019,0.086871,-0.377745
2007,3.981375,3.399624,0.790566,0.083187,0.089293,-0.381295
2008,4.114647,3.500483,0.805570,0.086905,0.105159,-0.383470
2009,4.132891,3.456230,0.757279,0.086698,0.116367,-0.283683
2010,2.792193,2.157485,0.799363,0.082030,0.125529,-0.372213
2011,4.420083,3.738494,0.818395,0.089932,0.163139,-0.389876
2012,4.538847,3.834753,0.800335,0.099828,0.191043,-0.387113
2013,4.718919,3.930207,0.767028,0.102508,0.311399,-0.392223
2014,4.803720,3.994080,0.755227,0.109231,0.329064,-0.383882
2015,3.523144,4.036411,0.738151,0.115940,0.339928,-1.707286
2016,3.838697,4.154441,0.749254,0.104612,0.358754,-1.528364
2017,4.384242,4.481559,0.750173,0.110366,0.382901,-1.340757
2018,4.431388,4.509032,0.768279,0.099250,0.395209,-1.340381
2019,4.547171,4.540630,0.835218,0.100853,0.405732,-1.335263
2020,4.305136,4.237011,0.824938,0.095982,0.417126,-1.269921
2021,4.494878,4.394452,0.854611,0.105449,0.417722,-1.277355
2022,4.624316,4.469831,0.847010,0.101542,0.483587,-1.277654
