"Year","Mauritius","World"
1950,0.383524,2.372741
1951,0.257547,2.509281
1952,0.316380,2.496828
1953,0.327868,2.519009
1954,0.320499,2.522133
1955,0.214856,2.710743
1956,0.359491,2.829705
1957,0.350680,2.864250
1958,0.324855,2.886446
1959,0.338782,2.981084
1960,0.265318,3.109071
1961,0.269551,3.068418
1962,0.356168,3.117449
1963,0.287570,3.212604
1964,0.414524,3.313059
1965,0.400871,3.389338
1966,0.354827,3.482441
1967,0.631102,3.521091
1968,0.793193,3.638560
1969,0.699445,3.800910
1970,0.600283,4.031813
1971,0.469737,4.112250
1972,0.806561,4.219880
1973,0.783297,4.358162
1974,0.789853,4.257539
1975,0.664088,4.190445
1976,0.687891,4.342568
1977,0.702628,4.387958
1978,0.680691,4.445411
1979,0.701592,4.491730
1980,0.617788,4.385349
1981,0.559155,4.204303
1982,0.510039,4.095304
1983,0.598429,4.047822
1984,0.619151,4.114002
1985,0.689387,4.177916
1986,0.768749,4.164586
1987,0.884815,4.215461
1988,0.802112,4.303169
1989,0.976422,4.285587
1990,1.340869,4.275440
1991,1.376996,4.288762
1992,1.526238,4.101485
1993,1.564856,4.079975
1994,1.414930,4.061836
1995,1.575871,4.097368
1996,1.662412,4.164388
1997,1.686188,4.131378
1998,1.815319,4.059213
1999,2.012230,4.096031
2000,2.211785,4.148800
2001,2.335468,4.125716
2002,2.336818,4.162733
2003,2.462643,4.327484
2004,2.470251,4.421495
2005,2.618291,4.515645
2006,2.868007,4.611727
2007,2.901016,4.688505
2008,2.952606,4.708763
2009,2.897149,4.572416
2010,3.049217,4.774950
2011,3.045177,4.878259
2012,3.076208,4.887112
2013,3.151056,4.868795
2014,3.255344,4.830362
2015,3.255559,4.767311
2016,3.358426,4.713752
2017,3.503428,4.735624
2018,3.442298,4.780249
2019,3.487965,4.778430
2020,2.933282,4.479880
2021,3.057764,4.676995
2022,3.022909,4.676281
2023,3.182434,4.697341
