"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,1.145883,,
1991,1.240933,,
1992,1.335984,,
1993,1.431036,,
1994,1.526088,,
1995,1.621142,,
1996,1.716196,,
1997,1.811252,,
1998,1.906308,,
1999,2.001367,,
2000,2.096427,,
2001,2.191489,,
2002,2.286553,,
2003,2.381620,,
2004,2.476690,,
2005,2.172760,,
2006,2.030045,,
2007,3.223070,,
2008,3.071404,,
2009,3.007674,,
2010,2.935030,,
2011,3.016470,,
2012,3.140978,,
2013,3.133894,,
2014,3.252070,,
2015,3.672264,,
2016,3.984302,,
2017,3.885630,,
2018,3.956400,,
2019,4.206400,,
2020,3.452299,,
2021,4.172719,,
2022,4.295351,,
