"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-33.164298,,,,
1991,-33.145308,,,,
1992,-33.126297,,,,
1993,-33.107257,,,,
1994,-33.088181,,,,
1995,-33.069056,,,,
1996,-33.049872,,,,
1997,-33.030615,,,,
1998,-33.011272,,,,
1999,-32.991829,,,,
2000,-32.972273,,,,
2001,-32.952595,,,,
2002,-32.932794,,,,
2003,-32.912877,,,,
2004,-32.892872,,,,
2005,-36.152073,,,,
2006,-36.943438,,,,
2007,-36.357091,,,,
2008,-36.294432,,,,
2009,-36.413496,,,,
2010,-35.634479,,,,
2011,-36.065326,,,,
2012,-36.402897,,,,
2013,-34.958133,,,,
2014,-33.178554,,,,
2015,-30.146856,,,,
2016,-24.972341,,,,
2017,-29.553975,,,,
2018,-28.325524,,,,
2019,-30.514734,,,,
2020,-28.291743,,,,
2021,-30.102509,,,,
2022,-26.246526,,,,
