"YYYYMM","Natural gas"
201001,80.932849
201002,96.693943
201003,85.086137
201004,79.895289
201005,81.448297
201006,75.655591
201007,77.716884
201008,47.854779
201009,58.499084
201010,79.428609
201011,86.027905
201012,87.686312
201101,85.731416
201102,81.997176
201103,82.716062
201104,80.813456
201105,85.273028
201106,74.223094
201107,82.381819
201108,87.424928
201109,78.698962
201110,82.011874
201111,77.461051
201112,87.651665
201201,90.949987
201202,82.419310
201203,88.041329
201204,80.558712
201205,79.198451
201206,79.584840
201207,90.807222
201208,85.532568
201209,75.720218
201210,79.864738
201211,85.054836
201212,91.650184
201301,87.308523
201302,78.660514
201303,89.660003
201304,84.989839
201305,92.003630
201306,89.552640
201307,103.061115
201308,104.723675
201309,62.630798
201310,82.662076
201311,80.243508
201312,88.104155
201401,92.617863
201402,83.133219
201403,100.833711
201404,86.111481
201405,85.652442
201406,94.261475
201407,96.845852
201408,89.308147
201409,91.220079
201410,105.240126
201411,96.770133
201412,97.942989
201501,98.390985
201502,81.738931
201503,88.863654
201504,85.146532
201505,92.530745
201506,87.593839
201507,90.715932
201508,87.377973
201509,83.560792
201510,96.592273
201511,90.020301
201512,94.319754
201601,97.340087
201602,91.717403
201603,91.321553
201604,85.979678
201605,89.610615
201606,85.288841
201607,93.490219
201608,81.710946
201609,48.383372
201610,94.435575
201611,91.552557
201612,95.534143
201701,96.558953
201702,81.952245
201703,94.058878
201704,91.649269
201705,96.419600
201706,87.387220
201707,94.491102
201708,86.447329
201709,80.610417
201710,93.999027
201711,88.045772
201712,93.509616
201801,94.335544
201802,82.463353
201803,91.927163
201804,83.063714
201805,90.535486
201806,86.685686
201807,89.302234
201808,91.252013
201809,76.078638
201810,91.653494
201811,86.576108
201812,87.941378
201901,76.541611
201902,66.640264
201903,72.352591
201904,69.909254
201905,68.596664
201906,70.181683
201907,69.784247
201908,78.437072
201909,78.919369
201910,86.238472
201911,77.260245
201912,80.530567
202001,78.063484
202002,74.838425
202003,83.323887
202004,80.740327
202005,79.233146
202006,71.498929
202007,74.054949
202008,74.627260
202009,68.475282
202010,69.529113
202011,74.832830
202012,78.821746
202101,78.101481
202102,64.539476
202103,76.949725
202104,76.545192
202105,52.830673
202106,57.344544
202107,72.591373
202108,73.952098
202109,67.732586
202110,69.388420
202111,66.812155
202112,70.746442
202201,69.378240
202202,59.293096
202203,65.386439
202204,62.151199
202205,63.305925
202206,59.792848
202207,59.457439
202208,58.401350
202209,58.946822
202210,58.436151
202211,57.244315
202212,57.421169
202301,57.754748
202302,51.665238
202303,56.159523
202304,59.934907
202305,64.521696
202306,57.353965
202307,62.451785
202308,65.776066
202309,54.250650
202310,67.257834
202311,65.925352
202312,63.722457
202401,61.932541
202402,55.683523
202403,68.221578
202404,63.213785
202405,61.219141
202406,62.498173
202407,61.914889
202408,58.057161
202409,14.817364
202410,51.343227
202411,60.072760
202412,62.052995
202501,60.617511
202502,58.589290
202503,61.715608
202504,64.439291
202505,62.330719
202506,63.721049
202507,65.211859
202508,65.704701
202509,50.479972
