"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar"
2016,-2.470761,5.334032,0.007378,-0.107095,0.620580,0.493293
2017,-5.134670,5.098219,-0.039321,-0.472241,2.398358,0.602535
2018,-3.532053,-0.090624,0.011591,0.117832,-0.020302,1.503446
2019,-9.832233,12.782588,0.001834,0.304803,0.959416,1.691613
2020,-9.650796,1.770874,-0.028116,0.164813,3.769799,3.168905
2021,6.902175,-15.687360,0.042174,-0.247080,2.768293,2.735563
2022,-0.047002,-8.805869,-0.038242,0.311962,3.354779,5.774910
2023,-6.388739,-1.947800,0.018030,-0.162908,8.096055,2.260678
2024,-0.543363,-1.886766,0.017364,-0.384678,3.526093,1.598535
