"Year","Emissions","Plus1SD","Minus1SD"
1959,8.805931,9.246228,8.365634
1960,9.333301,9.799966,8.866636
1961,9.357776,9.825665,8.889887
1962,9.685880,10.170174,9.201586
1963,10.201490,10.711565,9.691416
1964,10.753067,11.290720,10.215413
1965,11.235373,11.797142,10.673605
1966,11.781888,12.370983,11.192794
1967,12.152682,12.760316,11.545047
1968,12.814728,13.455464,12.173992
1969,13.665913,14.349209,12.982617
1970,14.797523,15.537399,14.057647
1971,15.395987,16.165786,14.626188
1972,16.110206,16.915716,15.304695
1973,16.954199,17.801909,16.106489
1974,16.872192,17.715802,16.028583
1975,16.861610,17.704690,16.018529
1976,17.726948,18.613295,16.840600
1977,18.215793,19.126583,17.305003
1978,18.873185,19.816844,17.929525
1979,19.352258,20.319871,18.384645
1980,19.249616,20.212096,18.287135
1981,18.717167,19.653025,17.781308
1982,18.565190,19.493449,17.636930
1983,18.732842,19.669485,17.796200
1984,19.283517,20.247692,18.319341
1985,19.967095,20.965450,18.968740
1986,20.253736,21.266423,19.241049
1987,20.914376,21.960095,19.868658
1988,21.717416,22.803287,20.631546
1989,21.992187,23.091796,20.892577
1990,22.520932,23.646979,21.394885
1991,22.988366,24.137784,21.838948
1992,22.293328,23.407994,21.178661
1993,22.512582,23.638211,21.386953
1994,22.724938,23.861185,21.588692
1995,23.255308,24.418074,22.092543
1996,23.961272,25.159336,22.763209
1997,24.097999,25.302899,22.893099
1998,24.009774,25.210262,22.809285
1999,24.542001,25.769102,23.314901
2000,25.205764,26.466052,23.945476
2001,25.376733,26.645569,24.107896
2002,25.932334,27.228951,24.635717
2003,27.294977,28.659726,25.930228
2004,28.228591,29.640021,26.817162
2005,29.191484,30.651059,27.731910
2006,30.152000,31.659600,28.644400
2007,31.022963,32.574111,29.471815
2008,31.553586,33.131265,29.975907
2009,30.990657,32.540190,29.441125
2010,32.759941,34.397938,31.121944
2011,33.880891,35.574935,32.186846
2012,34.326833,36.043175,32.610491
2013,34.611854,36.342447,32.881261
2014,34.779625,36.518606,33.040644
2015,34.709123,36.444580,32.973667
2016,34.688706,36.423141,32.954271
2017,35.259469,37.022443,33.496496
2018,36.002444,37.802566,34.202322
2019,36.318688,38.134622,34.502754
2020,34.375423,36.094194,32.656652
2021,36.044599,37.846829,34.242369
2022,36.718409,38.554329,34.882489
2023,37.260958,39.124006,35.397910
2024,37.776778,39.665617,35.887939
2025,38.106503,40.386669,35.842133
