"Year","Bunkers","Rest of World","Japan","India","China","EU27","USA"
1959,0.213783,2.853995,0.192920,0.101436,0.720163,1.940906,2.831909
1960,0.236652,3.008448,0.232830,0.111320,0.798811,2.101583,2.897308
1961,0.261515,3.091001,0.283131,0.120399,0.570641,2.201441,2.886862
1962,0.271047,3.240254,0.293278,0.132580,0.459625,2.356558,2.993898
1963,0.284039,3.417060,0.325268,0.142439,0.456787,2.514701,3.126484
1964,0.311366,3.643309,0.359353,0.139483,0.460644,2.646008,3.264307
1965,0.321898,3.869509,0.386970,0.153697,0.500294,2.678696,3.399539
1966,0.348350,4.053937,0.419780,0.159371,0.549467,2.760302,3.571418
1967,0.372698,4.227370,0.489916,0.159557,0.460233,2.822136,3.705461
1968,0.394069,4.442517,0.562568,0.174071,0.495514,2.995612,3.840923
1969,0.412374,4.680717,0.653853,0.177411,0.607694,3.194592,4.035156
1970,0.434444,5.031141,0.769748,0.181724,0.807964,3.334414,4.339704
1971,0.458932,5.350167,0.799647,0.191965,0.909210,3.428460,4.365484
1972,0.489592,5.570556,0.861054,0.203037,0.968636,3.558672,4.573034
1973,0.523775,5.911956,0.914266,0.209096,1.008269,3.732199,4.777725
1974,0.486374,6.031881,0.914306,0.215854,1.028063,3.712971,4.608462
1975,0.445037,6.201684,0.869815,0.234210,1.183154,3.640123,4.414455
1976,0.436155,6.508067,0.909575,0.244750,1.226339,3.916066,4.621539
1977,0.446111,6.749351,0.935554,0.258962,1.340715,3.877845,4.749501
1978,0.453220,7.005429,0.905088,0.263150,1.492517,4.007998,4.897339
1979,0.454859,7.268721,0.957147,0.276285,1.525417,4.117395,4.908766
1980,0.444315,7.419379,0.948552,0.291714,1.494298,4.081316,4.730218
1981,0.410169,7.337285,0.930377,0.314969,1.476280,3.867043,4.543633
1982,0.371386,7.439349,0.900724,0.325383,1.606239,3.774743,4.311919
1983,0.356757,7.536608,0.884424,0.352205,1.693747,3.731654,4.346381
1984,0.358152,7.706731,0.940542,0.361569,1.844213,3.766663,4.479380
1985,0.365862,8.149902,0.915276,0.397601,1.997193,3.823649,4.495379
1986,0.392180,8.296791,0.914049,0.426318,2.103430,3.807141,4.498136
1987,0.526109,8.433070,0.902207,0.455355,2.256629,3.840889,4.691930
1988,0.544309,8.777451,0.984698,0.491700,2.424444,3.798377,4.897776
1989,0.563951,8.815733,1.021298,0.540662,2.462150,3.836181,4.960238
1990,0.547870,8.965886,1.154853,0.577987,2.483535,3.870253,5.131761
1991,0.542670,9.380895,1.166552,0.615388,2.619143,3.804530,5.076413
1992,0.553817,8.547933,1.175454,0.655424,2.731290,3.677736,5.178769
1993,0.557434,8.543889,1.169328,0.677262,2.914284,3.608154,5.279520
1994,0.584829,8.407359,1.223158,0.714043,3.093891,3.589454,5.361863
1995,0.617257,8.490114,1.235873,0.760480,3.351197,3.635878,5.425837
1996,0.668516,8.671555,1.248690,0.823602,3.499311,3.720710,5.601094
1997,0.703283,8.738137,1.240980,0.857976,3.512350,3.654451,5.673144
1998,0.746254,8.735995,1.201334,0.875783,3.355336,3.644649,5.736360
1999,0.773419,8.925645,1.238121,0.961194,3.549949,3.589161,5.800281
2000,0.783520,9.213313,1.260203,0.987065,3.643810,3.600416,6.023158
2001,0.777503,9.383581,1.245935,1.001198,3.724114,3.657100,5.903562
2002,0.796846,9.456924,1.275420,1.032750,4.098181,3.657391,5.947819
2003,0.829259,9.893137,1.283845,1.068398,4.835252,3.736359,6.006440
2004,0.903466,10.226935,1.279122,1.134611,5.210961,3.743384,6.111545
2005,0.939227,10.434132,1.286412,1.195393,5.881991,3.734892,6.126903
2006,0.990595,10.763279,1.263440,1.293322,6.486185,3.752005,6.045326
2007,1.048253,10.960471,1.298973,1.393485,6.974663,3.701868,6.121543
2008,1.058181,11.234974,1.228687,1.490366,7.492404,3.625826,5.919221
2009,1.014049,11.027284,1.160253,1.613328,7.881491,3.330504,5.486104
2010,1.072032,11.652397,1.211090,1.678530,8.610048,3.424327,5.669250
2011,1.106056,11.960873,1.261181,1.765695,9.520153,3.327059,5.538973
2012,1.094093,12.274149,1.302113,1.926986,9.767311,3.258616,5.331467
2013,1.110196,12.266075,1.311876,1.995337,9.942371,3.176529,5.473436
2014,1.115847,12.395248,1.260272,2.148052,9.976028,3.038861,5.531385
2015,1.152619,12.477665,1.219982,2.231817,9.858040,3.094907,5.368497
2016,1.169079,12.583226,1.199933,2.352540,9.748175,3.094515,5.245362
2017,1.201115,12.849490,1.184392,2.425722,10.000014,3.118460,5.195418
2018,1.236376,13.006340,1.138550,2.595227,10.346790,3.049484,5.361236
2019,1.239574,13.279379,1.102063,2.611175,10.713514,2.904949,5.235912
2020,0.839551,12.645137,1.037285,2.422732,10.896520,2.627051,4.689954
2021,0.879083,13.147520,1.058502,2.675778,11.284401,2.801469,5.020111
2022,0.965669,13.197170,1.029645,2.831132,11.711807,2.736946,5.055403
2023,1.082754,13.386211,0.986910,3.062756,12.172009,2.484997,4.918407
2024,1.192464,13.631447,0.961867,3.193478,12.289037,2.426166,4.904120
2025,1.233106,13.746072,0.938265,3.229335,12.309477,2.428147,4.986031
