"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,3.869509,86.238604,10433988.915491,1682948980
1966,4.053937,90.246828,10933398.192304,1719012782
1967,4.227370,93.847227,11370216.555719,1755226926
1968,4.442517,99.376543,12109055.773661,1792096669
1969,4.680717,105.472947,12720535.613573,1830102137
1970,5.031141,111.999756,13771115.932058,1868124601
1971,5.350167,116.090424,14548571.312082,1906093682
1972,5.570556,122.392292,15365934.261762,1944886030
1973,5.911956,130.043373,16594285.635496,1984910381
1974,6.031881,132.393033,17477893.809015,2025588085
1975,6.201684,134.327766,17878358.190399,2066822733
1976,6.508067,141.542612,19085466.905209,2108930976
1977,6.749351,147.074461,19955362.875737,2151890324
1978,7.005429,153.373356,20649094.446035,2196100627
1979,7.268721,160.028427,21567372.276078,2241249252
1980,7.419379,160.622681,22078402.574139,2287101041
1981,7.337285,161.325840,22525469.166620,2334643881
1982,7.439349,162.562306,22811963.689812,2384057256
1983,7.536608,165.506459,23193322.873607,2434702197
1984,7.706731,172.199429,23807495.781786,2486079791
1985,8.149902,175.737292,24301466.210500,2537904466
1986,8.296791,180.080429,25191942.904667,2590452953
1987,8.433070,185.618809,25924559.191847,2643915720
1988,8.777451,190.353551,26690399.817621,2697520376
1989,8.815733,192.352929,27483514.910408,2750692276
1990,8.965886,196.407739,27684473.125401,2802800658
1991,9.380895,196.776296,27504654.133482,2854146026
1992,8.547933,195.923387,26895785.034361,2903884720
1993,8.543889,194.248168,26827381.415655,2952464490
1994,8.407359,193.952646,26644494.923390,3001351741
1995,8.490114,197.167500,27045571.353006,3050498680
1996,8.671555,201.621309,27842955.485472,3099745586
1997,8.738137,202.912848,28939160.002056,3148830684
1998,8.735995,203.639787,29078570.438542,3198231087
1999,8.925645,206.274436,29864253.407066,3247470577
2000,9.213313,211.059768,31543512.989528,3296722996
2001,9.383581,214.514391,32359976.447522,3346183384
2002,9.456924,217.091464,33420934.533372,3396610965
2003,9.893137,222.081890,34931050.986547,3447789534
2004,10.226935,229.816910,37140185.885605,3498996400
2005,10.434132,233.820297,39079431.501365,3551026750
2006,10.763279,238.951439,41421227.731116,3604841157
2007,10.960471,243.874966,43916209.799359,3660841761
2008,11.234974,247.507032,45564698.611182,3718444227
2009,11.027284,240.648360,44697527.927081,3776922063
2010,11.652397,251.480187,47057149.824237,3835714396
2011,11.960873,255.966729,49040766.515682,3895563922
2012,12.274149,259.892680,50667640.215591,3956884641
2013,12.266075,261.269322,52298337.521081,4018972349
2014,12.395248,261.356921,53610671.982386,4081432998
2015,12.477665,263.627725,54495083.081351,4144106604
2016,12.583226,268.420685,55739563.763947,4205996337
2017,12.849490,273.020751,57443341.860334,4266843361
2018,13.006340,275.877855,59008735.303812,4327274582
2019,13.279379,276.224345,60290654.989167,4387598894
2020,12.645137,261.918021,58147212.904577,4446376799
2021,13.147520,272.848325,61127666.082705,4502253169
2022,13.197170,277.020000,61940504.925921,4555164352
2023,13.386211,277.605930,62833805.262878,4610707157
2024,13.631447,283.655742,64865744.356616,4671269180
