"Year","Europe","Asia","Africa","North America","South America","Middle East","Oceania"
1959,3.713710,1.302717,0.147841,3.074944,0.237096,0.070768,0.094252
1960,3.966935,1.448027,0.156571,3.153337,0.235038,0.090276,0.100116
1961,4.112140,1.298687,0.161994,3.146443,0.239747,0.094484,0.099980
1962,4.339414,1.232942,0.166335,3.264930,0.260182,0.109295,0.103096
1963,4.612307,1.299194,0.176335,3.404053,0.257964,0.123593,0.109292
1964,4.842246,1.362267,0.193639,3.576447,0.275281,0.144773,0.118450
1965,4.984467,1.476741,0.213634,3.727009,0.284884,0.172795,0.129175
1966,5.156101,1.597788,0.221082,3.911769,0.296646,0.198951,0.131938
1967,5.270223,1.619314,0.237045,4.077573,0.316805,0.205539,0.138175
1968,5.515944,1.779166,0.257268,4.238654,0.338559,0.236683,0.144930
1969,5.816407,2.020828,0.277717,4.444891,0.367956,0.268463,0.153162
1970,6.098690,2.412296,0.302410,4.795305,0.405042,0.285360,0.165593
1971,6.327589,2.618930,0.331582,4.844499,0.417989,0.334438,0.169904
1972,6.556553,2.768661,0.351615,5.086731,0.437742,0.360851,0.172836
1973,6.849511,2.923350,0.377704,5.303662,0.478412,0.428529,0.192343
1974,6.867690,2.967920,0.388046,5.153396,0.501463,0.443753,0.189269
1975,6.907078,3.143782,0.386833,4.975888,0.499939,0.434497,0.195424
1976,7.281985,3.296270,0.419685,5.204466,0.523041,0.508131,0.192758
1977,7.338525,3.514515,0.432652,5.350388,0.535264,0.534502,0.206083
1978,7.570691,3.694783,0.462046,5.535344,0.559734,0.536660,0.212264
1979,7.750150,3.836061,0.498671,5.591234,0.595592,0.569760,0.212264
1980,7.753727,3.845441,0.535707,5.441307,0.608729,0.554905,0.225662
1981,7.471875,3.821237,0.548503,5.257410,0.583775,0.552828,0.233960
1982,7.411571,3.953197,0.571419,5.030694,0.587057,0.564996,0.239423
1983,7.417897,4.103815,0.594285,5.032542,0.572278,0.595525,0.228676
1984,7.468784,4.349275,0.648845,5.181712,0.586791,0.623953,0.239737
1985,7.792996,4.590286,0.665456,5.204828,0.603135,0.672542,0.249758
1986,7.805502,4.772830,0.689131,5.196444,0.616153,0.715504,0.250301
1987,7.826900,4.992786,0.689023,5.428988,0.648644,0.731730,0.262009
1988,7.865640,5.404823,0.723886,5.659479,0.671647,0.779401,0.269571
1989,7.831156,5.574634,0.696660,5.746918,0.676606,0.824379,0.285908
1990,8.038906,5.761380,0.655802,5.907240,0.690398,0.823260,0.307288
1991,7.739844,6.004440,0.684242,5.856732,0.697033,0.893303,0.309402
1992,7.094311,6.223939,0.663705,5.975306,0.707974,0.984961,0.316410
1993,6.806456,6.465919,0.704579,6.081933,0.743089,1.069789,0.320673
1994,6.445884,6.758348,0.788751,6.192430,0.749545,1.128995,0.325816
1995,6.422436,7.118254,0.842285,6.248651,0.790437,1.139909,0.337408
1996,6.472017,7.440219,0.870774,6.451079,0.826195,1.158876,0.345800
1997,6.266623,7.581172,0.892632,6.558293,0.879606,1.142882,0.355830
1998,6.240626,7.294444,0.911148,6.647728,0.904245,1.183070,0.368198
1999,6.156687,7.695169,0.897504,6.730826,0.931442,1.272757,0.379966
2000,6.155518,7.927166,0.927849,6.981995,0.941580,1.406760,0.387096
2001,6.282929,8.079179,0.917311,6.870700,0.926194,1.442251,0.396927
2002,6.249451,8.583848,0.896945,6.923014,0.959185,1.453808,0.402235
2003,6.391070,9.491553,0.988100,7.024311,0.966837,1.548713,0.412848
2004,6.419384,10.037267,1.043497,7.127101,0.999766,1.655777,0.423766
2005,6.427956,10.828093,1.055702,7.161424,1.033526,1.724579,0.428444
2006,6.529233,11.564241,1.084842,7.086870,1.072239,1.831428,0.434703
2007,6.473242,12.281686,1.113881,7.185792,1.111849,1.843028,0.441525
2008,6.407231,12.864319,1.166188,6.967133,1.154743,1.984284,0.447581
2009,5.893127,13.317202,1.160885,6.488164,1.126388,2.065632,0.447568
2010,6.117360,14.362530,1.216270,6.680689,1.243295,2.178652,0.446845
2011,6.044341,15.542229,1.264895,6.585878,1.259625,2.231887,0.445078
2012,5.998598,16.061426,1.263505,6.395342,1.312468,2.381427,0.447875
2013,5.840099,16.345718,1.280556,6.538066,1.376423,2.344290,0.440472
2014,5.609140,16.580382,1.360808,6.580936,1.394832,2.387181,0.436568
2015,5.613446,16.605202,1.335935,6.411547,1.368199,2.471521,0.445060
2016,5.598047,16.688725,1.367218,6.278472,1.317553,2.520702,0.453035
2017,5.632420,17.182279,1.377307,6.227086,1.295755,2.600110,0.458537
2018,5.613848,17.777239,1.391176,6.405330,1.253005,2.596707,0.460323
2019,5.437202,18.223221,1.456068,6.283747,1.274465,2.710947,0.461343
2020,5.025676,18.046272,1.369238,5.643710,1.138620,2.653588,0.441576
2021,5.265447,18.740864,1.475342,6.005029,1.282365,2.787512,0.431222
2022,5.095635,19.455877,1.459103,6.057500,1.278562,2.790371,0.425054
2023,4.887137,20.111113,1.481803,5.922801,1.289279,2.894338,0.424819
2024,4.880514,20.432226,1.502087,5.899122,1.295007,2.968607,0.428551
