"Year","EU27_prod","EU27_cons","IND_prod","IND_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,3.870253,4.360166,0.577987,0.583353,5.131761,5.051340,2.483535,2.360771
1991,3.804530,4.249256,0.615388,0.603908,5.076413,4.974380,2.619143,2.457916
1992,3.677736,4.534874,0.655424,0.656838,5.178769,5.187538,2.731290,2.658184
1993,3.608154,4.241402,0.677262,0.661066,5.279520,5.227085,2.914284,2.810093
1994,3.589454,4.142955,0.714043,0.692346,5.361863,5.322476,3.093891,2.792039
1995,3.635878,4.200168,0.760480,0.728637,5.425837,5.386559,3.351197,3.036594
1996,3.720710,4.137469,0.823602,0.773568,5.601094,5.545206,3.499311,3.159358
1997,3.654451,4.002622,0.857976,0.802520,5.673144,5.638635,3.512350,3.099581
1998,3.644649,4.088030,0.875783,0.814092,5.736360,5.838892,3.355336,2.997351
1999,3.589161,4.124205,0.961194,0.922024,5.800281,5.937449,3.549949,3.191316
2000,3.600416,4.202358,0.987065,0.914373,6.023158,6.229700,3.643810,3.236004
2001,3.657100,4.197806,1.001198,0.921530,5.903562,6.149080,3.724114,3.331183
2002,3.657391,4.186435,1.032750,0.936879,5.947819,6.273817,4.098181,3.619705
2003,3.736359,4.371265,1.068398,0.985412,6.006440,6.435502,4.835252,4.019689
2004,3.743384,4.435081,1.134611,1.043316,6.111545,6.555775,5.210961,4.254643
2005,3.734892,4.520916,1.195393,1.104519,6.126903,6.656012,5.881991,4.646610
2006,3.752005,4.601434,1.293322,1.172595,6.045326,6.618922,6.486185,5.064244
2007,3.701868,4.614406,1.393485,1.291092,6.121543,6.526727,6.974663,5.468660
2008,3.625826,4.588334,1.490366,1.372795,5.919221,6.218075,7.492404,5.887974
2009,3.330504,4.163920,1.613328,1.521685,5.486104,5.726084,7.881491,6.653185
2010,3.424327,4.328922,1.678530,1.571107,5.669250,5.889832,8.610048,7.260694
2011,3.327059,4.172785,1.765695,1.624197,5.538973,5.737398,9.520153,8.056911
2012,3.258616,3.887378,1.926986,1.782077,5.331467,5.550323,9.767311,8.342668
2013,3.176529,3.810929,1.995337,1.637855,5.473436,5.637723,9.942371,8.627376
2014,3.038861,3.666619,2.148052,1.810893,5.531385,5.758396,9.976028,8.720130
2015,3.094907,3.619507,2.231817,1.961053,5.368497,5.693528,9.858040,8.789745
2016,3.094515,3.689955,2.352540,2.002070,5.245362,5.557760,9.748175,8.672109
2017,3.118460,3.722617,2.425722,2.112195,5.195418,5.526131,10.000014,8.957402
2018,3.049484,3.773959,2.595227,2.239063,5.361236,5.684537,10.346790,9.443432
2019,2.904949,3.609548,2.611175,2.267293,5.235912,5.580077,10.713514,9.767084
2020,2.627051,3.276383,2.422732,2.085132,4.689954,5.103084,10.896520,9.798917
2021,2.801469,3.572199,2.675778,2.252029,5.020111,5.489662,11.284401,10.087990
2022,2.736946,3.566742,2.831132,2.339992,5.055403,5.565989,11.711807,10.427033
2023,2.484997,3.302200,3.062756,2.543215,4.918407,5.431659,12.172009,10.857025
