"Year","population","Emissions/population"
1,1.450936,2.200978
2,1.419321,8.658390
3,0.450260,5.388372
4,0.345427,14.197286
5,0.283488,2.865096
6,0.251269,0.715569
7,0.232679,0.583739
8,0.211999,2.278372
9,0.173562,0.624086
10,0.144820,12.294705
