"Year","EU27_prod","EU27_cons","IND_prod","IND_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,9.214943,10.381410,0.668214,0.674418,20.253749,19.936348,2.152888,2.046469
1991,9.027900,10.083205,0.696198,0.683210,19.793288,19.395455,2.237076,2.099368
1992,8.697217,10.724200,0.725863,0.727429,19.948572,19.982349,2.305715,2.243999
1993,8.507696,10.000838,0.734463,0.716899,20.102256,19.902605,2.434030,2.347008
1994,8.442021,9.743797,0.758681,0.735628,20.197258,20.048892,2.559043,2.309373
1995,8.537976,9.863073,0.791919,0.758759,20.230127,20.083680,2.746582,2.488738
1996,8.730333,9.708223,0.840686,0.789614,20.678873,20.472539,2.842784,2.566612
1997,8.565420,9.381474,0.858720,0.803216,20.745183,20.618994,2.829939,2.497367
1998,8.542372,9.581573,0.859736,0.799175,20.774931,21.146264,2.682451,2.396257
1999,8.408864,9.662392,0.925804,0.888077,20.805536,21.297556,2.817025,2.532436
2000,8.419518,9.827151,0.933022,0.864310,21.397859,22.131621,2.870088,2.548875
2001,8.533096,9.794724,0.928843,0.854932,20.766743,21.630392,2.912365,2.605082
2002,8.507728,9.738376,0.940917,0.853570,20.718020,21.853569,3.184619,2.812805
2003,8.659768,10.131291,0.956657,0.882351,20.718427,22.198420,3.735178,3.105164
2004,8.644059,10.241296,0.998785,0.918419,20.873742,22.390994,4.001966,3.267524
2005,8.594708,10.403503,1.035263,0.956561,20.718829,22.508071,4.489976,3.546957
2006,8.611774,10.561425,1.102690,0.999758,20.236742,22.156854,4.921031,3.842213
2007,8.471200,10.559415,1.170331,1.084335,20.280469,21.622833,5.260667,4.124758
2008,8.267794,10.462553,1.233818,1.136484,19.409170,20.389113,5.617249,4.414366
2009,7.574651,9.470110,1.316438,1.241660,17.810670,18.589766,5.870657,4.955734
2010,7.771805,9.824861,1.349863,1.263474,18.225420,18.934543,6.370445,5.372078
2011,7.536821,9.452653,1.399984,1.287794,17.634141,18.265855,6.998823,5.923108
2012,7.372448,8.794988,1.507019,1.393691,16.812391,17.502536,7.131918,6.091669
2013,7.180229,8.614228,1.539815,1.263943,17.098570,17.611788,7.209799,6.256219
2014,6.860278,8.277450,1.636889,1.379963,17.118916,17.821485,7.187589,6.282732
2015,6.971909,8.153679,1.680554,1.476669,16.461394,17.458036,7.060955,6.295774
2016,6.955351,8.293683,1.750474,1.489697,15.934659,16.883679,6.942884,6.176484
2017,6.996820,8.352353,1.784068,1.553476,15.639208,16.634718,7.080384,6.342176
2018,6.829695,8.452246,1.887906,1.628813,16.000991,16.965906,7.291561,6.654949
2019,6.493405,8.068388,1.879854,1.632285,15.500492,16.519363,7.526070,6.861218
2020,5.866867,7.316988,1.727293,1.486600,13.816894,15.034003,7.640750,6.871100
2021,6.257387,7.978897,1.892074,1.592436,14.758025,16.138403,7.910899,7.072158
2022,6.094108,7.941740,1.986169,1.641612,14.802047,16.297025,8.217777,7.316294
2023,5.514158,7.327515,2.129769,1.768493,14.319450,15.813733,8.556262,7.631899
