"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,3.399539,51.982924,4541643.262700,195653774
1966,3.571418,54.890509,4836850.074800,198265406
1967,3.705461,56.802742,4957771.326700,200699911
1968,3.840923,60.189787,5195744.350400,203011019
1969,4.035156,63.300323,5356812.425200,205300033
1970,4.339704,65.541021,5338243.102800,207796339
1971,4.365484,66.920432,5514050.219400,210426432
1972,4.573034,70.250692,5804029.012300,212842573
1973,4.777725,73.223262,6131708.386500,215006551
1974,4.608462,71.433385,6098563.336100,217076476
1975,4.414455,69.550136,6086033.467500,219129301
1976,4.621539,73.355434,6413957.427900,221168758
1977,4.749501,75.224328,6710548.637200,223259419
1978,4.897339,76.893449,7081997.968800,225396096
1979,4.908766,77.703841,7306224.315400,227575084
1980,4.730218,74.707049,7287465.607900,229858655
1981,4.543633,72.497136,7472401.029300,232201617
1982,4.311919,69.545304,7337682.052400,234583152
1983,4.346381,69.301913,7674035.039900,236986365
1984,4.479380,72.848481,8229376.804400,239353967
1985,4.495379,72.663282,8572513.526400,241690443
1986,4.498136,73.337786,8869349.319900,243953807
1987,4.691930,75.798959,9176162.462700,246161291
1988,4.897776,79.252502,9559456.392400,248393235
1989,4.960238,81.168560,9910541.591600,250675053
1990,5.131761,81.393106,10097450.932000,253373387
1991,5.076413,81.286990,10086518.949000,256471422
1992,5.178769,82.487197,10441810.580000,259606019
1993,5.279520,84.226988,10729146.345000,262633231.000000
1994,5.361863,85.766869,11161401.469000,265474810
1995,5.425837,87.636309,11460997.735000,268205795.000000
1996,5.601094,90.595344,11893371.381000,270860696
1997,5.673144,91.274744,12422290.414000,273468013
1998,5.736360,91.848104,12978982.246000,276119333
1999,5.800281,93.474272,13601259.515000,278785484
2000,6.023158,95.566448,14155803.954000,281484131
2001,5.903562,93.306082,14290898.967000,284279639
2002,5.947819,94.670170,14533264.476000,287084338
2003,6.006440,94.979104,14939644.222000,289908100
2004,6.111545,96.836826,15515202.507000,292786253
2005,6.126903,96.885232,16055631.045000,295716664
2006,6.045326,96.119867,16502428.748000,298730209
2007,6.121543,97.440160,16834211.119000,301844226
2008,5.919221,95.066100,16854781.048000,304970333
2009,5.486104,90.397896,16416575.071000,308023454
2010,5.669250,93.432770,16861277.099000,311062790
2011,5.538973,92.624719,17122609.266000,314105078
2012,5.331467,90.170521,17513122.228000,317115355
2013,5.473436,92.623062,17835692.253000,320110759
2014,5.531385,93.585286,18243732.376000,323115377
2015,5.368497,92.690735,18737475.331000,326126497
2016,5.245362,92.617384,19049918.241000,329179427
2017,5.195418,92.959761,19479623,332204660
2018,5.361236,96.368354,20048205.761000,335056497
2019,5.235912,95.682579,20507082.950000,337790067
2020,4.689954,88.669418,19808900.259000,339436159
2021,5.020111,93.444579,20932281.741000,340161441
2022,5.055403,95.445034,21708446.282000,341534046
2023,4.918407,94.379564,22196897.704000,343477335
2024,4.904120,95.503001,22516020.491000,345426571
