"Year","Fossil CO2","CO2/Energy","Energy/GDP","GDP","Energy"
1965,0.443353,1.128993,1.353986,0.290031,0.392698
1966,0.464992,1.122675,1.355124,0.305641,0.414182
1967,0.479681,1.117149,1.352938,0.317368,0.429380
1968,0.505861,1.111622,1.351485,0.336715,0.455066
1969,0.539435,1.109163,1.363771,0.356617,0.486344
1970,0.584017,1.127802,1.377099,0.376034,0.517836
1971,0.607721,1.128936,1.367672,0.393598,0.538313
1972,0.635972,1.119892,1.366993,0.415428,0.567887
1973,0.669396,1.114183,1.352224,0.444301,0.600795
1974,0.666285,1.103038,1.318690,0.458065,0.604045
1975,0.665915,1.094861,1.309092,0.464611,0.608219
1976,0.700175,1.092812,1.304432,0.491178,0.640709
1977,0.719599,1.083886,1.295564,0.512446,0.663907
1978,0.745732,1.080889,1.294899,0.532802,0.689925
1979,0.764698,1.072893,1.286436,0.554045,0.712744
1980,0.760826,1.076875,1.249993,0.565213,0.706512
1981,0.740049,1.052267,1.220841,0.576071,0.703290
1982,0.734169,1.049001,1.206378,0.580145,0.699874
1983,0.740912,1.040837,1.196783,0.594797,0.711843
1984,0.762686,1.025369,1.202117,0.618755,0.743816
1985,0.789639,1.033868,1.195992,0.638609,0.763771
1986,0.801131,1.026186,1.181284,0.660881,0.780688
1987,0.827321,1.022709,1.182723,0.683973,0.808951
1988,0.859172,1.023742,1.177080,0.712990,0.839246
1989,0.870205,1.017266,1.158971,0.738099,0.855435
1990,0.891055,1.026402,1.149087,0.755500,0.868135
1991,0.909614,1.040613,1.144109,0.764012,0.874113
1992,0.882756,1.003768,1.132849,0.776310,0.879443
1993,0.891750,1.005813,1.123819,0.788914,0.886597
1994,0.900559,1.003018,1.107070,0.811014,0.897849
1995,0.921806,1.004611,1.097364,0.836163,0.917575
1996,0.949905,1.006132,1.088634,0.867248,0.944116
1997,0.955661,1.002388,1.058046,0.901080,0.953384
1998,0.952344,0.993406,1.038151,0.923436,0.958666
1999,0.973592,0.998945,1.020424,0.955112,0.974620
2000,1,1,1,1,1
2001,1.007115,0.997387,0.986876,1.023181,1.009753
2002,1.029549,0.998110,0.982407,1.049972,1.031499
2003,1.083931,1.015564,0.981013,1.087977,1.067320
2004,1.121457,0.999883,0.980747,1.143606,1.121588
2005,1.160221,1.001334,0.969115,1.195601,1.158675
2006,1.199231,1.007100,0.947294,1.257029,1.190776
2007,1.234709,1.005266,0.929500,1.321400,1.228241
2008,1.256284,1.010821,0.915650,1.357326,1.242835
2009,1.235248,1.010060,0.907283,1.347921,1.222945
2010,1.305987,1.018364,0.905915,1.415626,1.282437
2011,1.351548,1.029809,0.892804,1.470004,1.312425
2012,1.370157,1.029152,0.878699,1.515133,1.331346
2013,1.382743,1.020573,0.866057,1.564410,1.354869
2014,1.390185,1.014944,0.847367,1.616438,1.369717
2015,1.387749,1.005727,0.826417,1.669673,1.379846
2016,1.387329,0.993272,0.810410,1.723482,1.396726
2017,1.410134,0.987798,0.798459,1.787886,1.427553
2018,1.439901,0.982587,0.792153,1.849918,1.465418
2019,1.453721,0.980573,0.779406,1.902116,1.482521
2020,1.378133,0.963129,0.777332,1.840773,1.430892
2021,1.445109,0.960975,0.771159,1.950045,1.503794
2022,1.471015,0.960740,0.758968,2.017380,1.531127
2023,1.493212,0.957247,0.749659,2.080817,1.559902
2024,1.512988,0.945239,0.744174,2.150897,1.600642
