"Year","China","USA","India","EU27","Russia","Japan"
1750,0,0,0,0,0,0
1751,0,0,0,0,0,0
1752,0,0,0,0,0,0
1753,0,0,0,0,0,0
1754,0,0,0,0,0,0
1755,0,0,0,0,0,0
1756,0,0,0,0,0,0
1757,0,0,0,0,0,0
1758,0,0,0,0,0,0
1759,0,0,0,0,0,0
1760,0,0,0,0,0,0
1761,0,0,0,0,0,0
1762,0,0,0,0,0,0
1763,0,0,0,0,0,0
1764,0,0,0,0,0,0
1765,0,0,0,0,0,0
1766,0,0,0,0,0,0
1767,0,0,0,0,0,0
1768,0,0,0,0,0,0
1769,0,0,0,0,0,0
1770,0,0,0,0,0,0
1771,0,0,0,0,0,0
1772,0,0,0,0,0,0
1773,0,0,0,0,0,0
1774,0,0,0,0,0,0
1775,0,0,0,0,0,0
1776,0,0,0,0,0,0
1777,0,0,0,0,0,0
1778,0,0,0,0,0,0
1779,0,0,0,0,0,0
1780,0,0,0,0,0,0
1781,0,0,0,0,0,0
1782,0,0,0,0,0,0
1783,0,0,0,0,0,0
1784,0,0,0,0,0,0
1785,0,0,0,0,0,0
1786,0,0,0,0,0,0
1787,0,0,0,0,0,0
1788,0,0,0,0,0,0
1789,0,0,0,0,0,0
1790,0,0,0,0,0,0
1791,0,0,0,0,0,0
1792,0,0,0,0.000469,0,0
1793,0,0,0,0.000480,0,0
1794,0,0,0,0.000443,0,0
1795,0,0,0,0.000447,0,0
1796,0,0,0,0.000535,0,0
1797,0,0,0,0.000550,0,0
1798,0,0,0,0.000575,0,0
1799,0,0,0,0.000627,0,0
1800,0,0.000253,0,0.001202,0,0
1801,0,0.000267,0,0.000978,0,0
1802,0,0.000289,0,0.009640,0,0
1803,0,0.000297,0,0.000997,0,0
1804,0,0.000333,0,0.003642,0,0
1805,0,0.000341,0,0.001612,0,0
1806,0,0.000333,0,0.001458,0,0
1807,0,0.000377,0,0.003235,0,0
1808,0,0.000392,0,0.001400,0,0
1809,0,0.000403,0,0.001403,0,0
1810,0,0.000418,0,0.003668,0,0
1811,0,0.000447,0,0.003569,0,0
1812,0,0.000484,0,0.003583,0,0
1813,0,0.000520,0,0.003320,0,0
1814,0,0.000561,0,0.003477,0,0
1815,0,0.000601,0,0.003961,0,0
1816,0,0.000663,0,0.005562,0,0
1817,0,0.000718,0,0.006786,0,0
1818,0,0.000780,0,0.006837,0,0
1819,0,0.000762,0,0.006844,0,0
1820,0,0.000791,0,0.007365,0,0
1821,0,0.000828,0,0.007731,0,0
1822,0,0.000865,0,0.008075,0,0
1823,0,0.000901,0,0.008772,0,0
1824,0,0.001015,0,0.008424,0,0
1825,0,0.001136,0,0.010025,0,0
1826,0,0.001315,0,0.009955,0,0
1827,0,0.001447,0,0.012234,0,0
1828,0,0.001594,0,0.012450,0,0
1829,0,0.001795,0,0.011248,0,0
1830,0,0.002088,0,0.019141,0.000011,0
1831,0,0.002264,0,0.016470,0.000013,0
1832,0,0.003023,0,0.016481,0.000009,0
1833,0,0.003528,0,0.017764,0.000011,0
1834,0,0.003382,0,0.019562,0,0
1835,0,0.004316,0,0.020848,0,0
1836,0,0.004730,0,0.023578,0,0
1837,0,0.005305,0,0.025586,0,0
1838,0,0.005031,0,0.027147,0,0
1839,0,0.005518,0,0.028271,0,0
1840,0,0.005873,0,0.032049,0,0
1841,0,0.006214,0,0.034504,0,0
1842,0,0.006918,0,0.037138,0,0
1843,0,0.007764,0,0.035929,0,0
1844,0,0.009307,0,0.038575,0,0
1845,0,0.011205,0,0.043917,0,0
1846,0,0.012710,0,0.049266,0,0
1847,0,0.015070,0,0.053648,0,0
1848,0,0.016785,0,0.047573,0,0
1849,0,0.018221,0,0.049131,0,0
1850,0,0.019793,0,0.054190,0.000069,0
1851,0,0.024633,0,0.057298,0,0
1852,0,0.026791,0,0.064285,0,0
1853,0,0.030162,0,0.071181,0,0
1854,0,0.033159,0,0.082319,0,0
1855,0,0.038161,0,0.090822,0.000211,0
1856,0,0.040037,0,0.096396,0,0
1857,0,0.041055,0,0.100452,0,0
1858,0,0.041649,0.000394,0.105866,0.000296,0
1859,0,0.045320,0.000636,0.103998,0.000314,0
1860,0,0.047438,0.000643,0.112653,0.000415,0
1861,0,0.045679,0.000497,0.123852,0.000527,0
1862,0,0.047449,0.000550,0.134076,0.000475,0
1863,0,0.054810,0.000610,0.139489,0.000497,0
1864,0,0.058657,0.000577,0.150897,0.000558,0
1865,0,0.058822,0.000567,0.163823,0.000533,0
1866,0,0.059232,0.000640,0.168329,0.001685,0
1867,0,0.072866,0,0.180490,0.001934,0
1868,0,0.082352,0,0.189354,0.001609,0.000011
1869,0,0.093696,0,0.197348,0.002183,0.000018
1870,0,0.098620,0,0.198126,0.002369,0.000018
1871,0,0.103021,0,0.211581,0.003198,0.000026
1872,0,0.126305,0,0.235093,0.003283,0.000033
1873,0,0.139507,0,0.251700,0.003081,0.000040
1874,0,0.134297,0,0.220222,0.003740,0.000586
1875,0,0.135748,0,0.254916,0.004305,0.001440
1876,0,0.132820,0,0.266347,0.005345,0.001403
1877,0,0.147176,0,0.259884,0.005454,0.001290
1878,0,0.143904,0.001767,0.268511,0.007128,0.001858
1879,0,0.175469,0.001684,0.284259,0.007314,0.002316
1880,0,0.198856,0.001887,0.328859,0.008580,0.002349
1881,0,0.210401,0.001839,0.330136,0.009037,0.002415
1882,0,0.235664,0.002196,0.348957,0.009519,0.002514
1883,0,0.254231,0.002441,0.372652,0.010835,0.002711
1884,0,0.267922,0.002730,0.376346,0.011000,0.002957
1885,0,0.272507,0.002459,0.380989,0.011982,0.003349
1886,0,0.287837,0.002772,0.382775,0.012289,0.003605
1887,0,0.307937,0.003066,0.400965,0.013004,0.004474
1888,0,0.374415,0.003410,0.431376,0.013564,0.005170
1889,0,0.336124,0.004022,0.454562,0.014649,0.006254
