"Year","Conc_monthly_ppm","Conc_trend_ppm"
1958.041100,"NaN",314.920000
1958.126000,"NaN",315.350000
1958.202700,"NaN",315.280000
1958.287700,"NaN",315.440000
1958.369900,"NaN",315.480000
1958.454800,"NaN",315.980000
1958.537000,"NaN",316
1958.621900,"NaN",315.710000
1958.706800,"NaN",315.560000
1958.789000,"NaN",315.790000
1958.874000,"NaN",315.900000
1958.956200,"NaN",316.010000
1959.041100,"NaN",315.830000
1959.126000,"NaN",315.970000
1959.202700,"NaN",316.060000
1959.287700,"NaN",316.290000
1959.369900,"NaN",316.220000
1959.454800,"NaN",316.350000
1959.537000,"NaN",316.730000
1959.621900,"NaN",316.490000
1959.706800,"NaN",316.790000
1959.789000,"NaN",316.600000
1959.874000,"NaN",316.740000
1959.956200,"NaN",316.740000
1960.041000,"NaN",316.720000
1960.125700,"NaN",316.970000
1960.204900,"NaN",317.280000
1960.289600,"NaN",317.430000
1960.371600,"NaN",317.470000
1960.456300,"NaN",317.430000
1960.538300,"NaN",317.410000
1960.623000,"NaN",317.170000
1960.707700,"NaN",317.290000
1960.789600,"NaN",317.350000
1960.874300,"NaN",317.340000
1960.956300,"NaN",317.450000
1961.041100,"NaN",317.550000
1961.126000,"NaN",317.530000
1961.202700,"NaN",317.870000
1961.287700,"NaN",317.820000
1961.369900,"NaN",318.040000
1961.454800,"NaN",318.090000
1961.537000,"NaN",317.840000
1961.621900,"NaN",318.250000
1961.706800,"NaN",318.130000
1961.789000,"NaN",318.080000
1961.874000,"NaN",318.270000
1961.956200,"NaN",318.270000
1962.041100,"NaN",318.490000
1962.126000,"NaN",318.480000
1962.202700,"NaN",318.400000
1962.287700,"NaN",318.520000
1962.369900,"NaN",318.740000
1962.454800,"NaN",318.590000
1962.537000,"NaN",318.740000
1962.621900,"NaN",318.420000
1962.706800,"NaN",318.630000
1962.789000,"NaN",318.650000
1962.874000,"NaN",318.810000
1962.956200,"NaN",318.710000
1963.041100,"NaN",318.920000
1963.126000,"NaN",319.160000
1963.202700,"NaN",319.220000
1963.287700,"NaN",319.370000
1963.369900,"NaN",319.300000
1963.454800,"NaN",319.270000
1963.537000,"NaN",319.220000
