"Year","Coal","Oil","Gas","Others","Land-use change"
1850,0.196848,0,0,0,2.714023
1851,0.198779,0,0,0,2.820767
1852,0.207595,0,0,0,2.917350
1853,0.217237,0,0,0,2.935450
1854,0.255039,0,0,0,2.975559
1855,0.260223,0.000037,0,0,3.027820
1856,0.278205,0.000040,0,0,3.043868
1857,0.281130,0.000051,0,0,3.091683
1858,0.285486,0.000062,0,0,3.112421
1859,0.302517,0.000055,0,0,3.155913
1860,0.332025,0.000273,0,0,2.895977
1861,0.348249,0.000941,0,0,2.766613
1862,0.354592,0.001399,0,0,2.692258
1863,0.378242,0.001293,0,0,2.662824
1864,0.408416,0.001110,0,0,2.686543
1865,0.433532,0.001320,0,0,2.608279
1866,0.447115,0.001952,0,0,2.620969
1867,0.478829,0.001985,0,0,2.575010
1868,0.492205,0.002288,0,0,2.563261
1869,0.522117,0.002614,0,0,2.555970
1870,0.532991,0.003133,0,0,2.911427
1871,0.566495,0.003282,0,0,2.997042
1872,0.627264,0.003698,0,0,3.157806
1873,0.664798,0.005669,0,0,3.209188
1874,0.622420,0.006242,0,0,3.310693
1875,0.675214,0.005834,0,0,3.332225
1876,0.684048,0.006534,0,0,3.387515
1877,0.695211,0.008822,0,0,3.476660
1878,0.699612,0.010038,0,0,3.531498
1879,0.747138,0.012657,0,0,3.588607
1880,0.842695,0.015360,0,0.000172,3.623110
1881,0.870726,0.017239,0,0.000208,3.603459
1882,0.918787,0.018936,0.000165,0.000270,3.683676
1883,0.980636,0.016498,0.000381,0.000348,3.744156
1884,0.989938,0.018319,0.001172,0.000333,3.749298
1885,0.994473,0.018956,0.003715,0.000345,3.755136
1886,1.003117,0.021821,0.007676,0.000374,3.750092
1887,1.048460,0.023479,0.011787,0.000556,3.808826
1888,1.159449,0.024578,0.016774,0.000541,3.800435
1889,1.160885,0.028404,0.012227,0.000582,3.835036
1890,1.260254,0.034648,0.011688,0.000665,4.116357
1891,1.319138,0.040829,0.008947,0.000684,4.206138
1892,1.331829,0.040204,0.007775,0.000728,4.181687
1893,1.312683,0.042544,0.007288,0.000665,4.218888
1894,1.363137,0.041697,0.006698,0.000695,4.303722
1895,1.439659,0.048536,0.007042,0.000726,4.290068
1896,1.485244,0.052568,0.006848,0.000791,4.305261
1897,1.554677,0.055527,0.007288,0.000914,4.375451
1898,1.640331,0.057169,0.008460,0.001007,4.391255
1899,1.792204,0.060026,0.010904,0.001290,4.427016
1900,1.882645,0.067303,0.011542,0.001395,4.460737
1901,1.936356,0.074746,0.012861,0.001666,4.585447
1902,1.980299,0.080803,0.013696,0.002158,4.627754
1903,2.161955,0.085560,0.014528,0.002548,4.663100
1904,2.174434,0.096073,0.015165,0.002749,4.771908
1905,2.320898,0.097010,0.017170,0.003512,4.803895
1906,2.425449,0.097878,0.019027,0.004497,4.871508
1907,2.758979,0.119410,0.019877,0.004630,4.873889
1908,2.635282,0.128779,0.019676,0.004824,4.921338
1909,2.740823,0.134358,0.023523,0.006060,4.999687
1910,2.871834,0.144094,0.024915,0.007083,4.798155
1911,2.909144,0.152815,0.025718,0.007258,4.765618
1912,3.058476,0.157161,0.028315,0.007629,4.667301
1913,3.302354,0.181957,0.029598,0.008516,4.620267
1914,2.971226,0.186003,0.030136,0.008111,4.626716
1915,2.908266,0.197563,0.031866,0.007915,4.553338
1916,3.135505,0.215195,0.038377,0.008441,4.541345
1917,3.265621,0.239365,0.040509,0.008509,4.459235
1918,3.215897,0.245023,0.036519,0.006519,4.416805
1919,2.720155,0.273411,0.037948,0.007399,4.385234
1920,3.132616,0.361039,0.041685,0.009070,4.776732
1921,2.672104,0.397270,0.034992,0.008940,4.985617
1922,2.773434,0.438308,0.040107,0.010448,5.056589
1923,3.149715,0.485534,0.052526,0.012507,5.168157
1924,3.155952,0.484185,0.059709,0.013582,5.113906
1925,3.153677,0.505524,0.063923,0.014429,5.248851
1926,3.084044,0.506470,0.069145,0.014740,5.266231
1927,3.364399,0.554148,0.076017,0.015448,5.271226
1928,3.307581,0.567589,0.082623,0.035583,5.326674
1929,3.523883,0.621698,0.102895,0.036873,5.382453
1930,3.216251,0.599784,0.104225,0.035561,5.438060
1931,2.833196,0.580507,0.092889,0.030894,5.524311
1932,2.522370,0.555986,0.088220,0.024694,5.565335
1933,2.638807,0.607577,0.090919,0.023839,5.520903
1934,2.880470,0.643636,0.101952,0.028514,5.574434
1935,2.998369,0.691960,0.111374,0.032058,5.511523
1936,3.287721,0.753446,0.125532,0.038736,5.644844
1937,3.465992,0.846626,0.140578,0.040804,5.625938
1938,3.230586,0.822813,0.135497,0.038521,5.665851
1939,3.435781,0.854500,0.141331,0.035659,5.635598
1940,3.795503,0.900980,0.153520,0.031431,5.743405
1941,3.885963,0.912337,0.153463,0.043293,5.891150
1942,3.910556,0.863507,0.166049,0.038376,5.905305
1943,3.926686,0.926591,0.182900,0.034769,5.894301
1944,3.869107,1.068786,0.197601,0.022664,5.826065
1945,2.999876,1.045789,0.216700,0.022986,5.863389
1946,3.236011,1.108431,0.223837,0.036306,5.827616
1947,3.623154,1.246469,0.247893,0.043141,5.778238
