"Year","Europe","Asia","Africa","North America","South America","Middle East","Oceania"
1959,6.186970,0.722654,0.533264,13.350502,1.334098,0.955002,6.997106
1960,6.543346,0.790762,0.551527,13.422163,1.287520,1.183930,7.272132
1961,6.715814,0.698595,0.557111,13.127624,1.278596,1.204108,7.107115
1962,7.018695,0.650525,0.558323,13.353129,1.351089,1.352585,7.178886
1963,7.390973,0.668952,0.577527,13.656936,1.304629,1.484605,7.457991
1964,7.690850,0.684266,0.618628,14.082966,1.356322,1.687930,7.920717
1965,7.851130,0.724711,0.665602,14.414620,1.368084,1.955814,8.461297
1966,8.057956,0.766735,0.671574,14.874016,1.389227,2.185687,8.467113
1967,8.176326,0.760293,0.701744,15.255518,1.447604,2.191462,8.704433
1968,8.498015,0.816885,0.741964,15.614187,1.510235,2.449394,8.970353
1969,8.898822,0.906960,0.780180,16.126852,1.603056,2.696462,9.303988
1970,9.275862,1.058580,0.827444,17.119827,1.724231,2.782390,9.821120
1971,9.566355,1.124651,0.883651,17.010962,1.739118,3.165491,9.799298
1972,9.844491,1.164282,0.912746,17.591608,1.780360,3.315536,9.747964
1973,10.218666,1.203953,0.954429,18.086423,1.902380,3.823644,10.664105
1974,10.185948,1.197841,0.953929,17.335434,1.950022,3.846232,10.323898
1975,10.190963,1.244606,0.924640,16.513858,1.901668,3.659336,10.509137
1976,10.690820,1.281092,0.975045,17.045620,1.946516,4.158538,10.244063
1977,10.719586,1.341513,0.977576,17.295350,1.948919,4.247661,10.833522
1978,11.005069,1.385785,1.014500,17.661683,1.993880,4.138262,11.040968
1979,11.211883,1.413702,1.063068,17.609238,2.076008,4.261867,10.925298
1980,11.159945,1.392095,1.109291,16.911650,2.076545,4.023425,11.477786
1981,10.703134,1.358938,1.102547,16.127245,1.949363,3.867629,11.731905
1982,10.573376,1.380446,1.114273,15.234645,1.919186,3.812132,11.822568
1983,10.539759,1.406983,1.125359,15.048190,1.831569,3.887264,11.128277
1984,10.569376,1.464510,1.193861,15.303794,1.838858,3.940904,11.510732
1985,10.984038,1.517877,1.189365,15.186787,1.851452,4.115298,11.835171
1986,10.954386,1.549372,1.196817,14.983524,1.853681,4.241755,11.700437
1987,10.935524,1.590618,1.163043,15.471634,1.913314,4.202637,12.072902
1988,10.940484,1.690268,1.188232,15.938698,1.943068,4.344709,12.237926
1989,10.846380,1.712124,1.112559,15.992538,1.920409,4.464879,12.788560
1990,11.092275,1.738094,1.018977,16.226677,1.923153,4.349250,13.529647
1991,10.645063,1.781327,1.035300,15.866689,1.906673,4.601692,13.418424
1992,9.741900,1.818468,0.978397,15.967659,1.902641,4.939625,13.556431
1993,9.341435,1.861637,1.011717,16.039704,1.962814,5.248631,13.593825
1994,8.835700,1.918502,1.104238,16.128490,1.946932,5.423925,13.663952
1995,8.797368,1.993183,1.149911,16.080334,2.019657,5.357966,13.983875
1996,8.865212,2.055588,1.159106,16.408987,2.077413,5.332772,14.157075
1997,8.583028,2.067438,1.159045,16.494253,2.177242,5.148890,14.400557
1998,8.553811,1.964237,1.153748,16.533056,2.203755,5.217438,14.740505
1999,8.446061,2.046847,1.108284,16.555429,2.235948,5.494939,15.049249
2000,8.444898,2.083239,1.117480,16.985178,2.227960,5.942398,15.163322
2001,8.618644,2.098181,1.077416,16.529815,2.161743,5.958809,15.366771
2002,8.562094,2.203729,1.027303,16.474292,2.209527,5.888533,15.379650
2003,8.740952,2.409791,1.103508,16.536113,2.199209,6.147481,15.589193
2004,8.769041,2.521093,1.136153,16.598735,2.246567,6.424319,15.809544
2005,8.770959,2.691195,1.120462,16.499782,2.295097,6.536575,15.789343
2006,8.901203,2.844107,1.122358,16.150349,2.353883,6.777606,15.802302
2007,8.810106,2.989089,1.123222,16.192472,2.413856,6.661839,15.800087
2008,8.700490,3.098451,1.145929,15.521963,2.480161,7.010636,15.745020
2009,7.987166,3.173732,1.111557,14.293877,2.394215,7.139574,15.482396
2010,8.277327,3.386740,1.134790,14.556584,2.616358,7.373750,15.228428
2011,8.164946,3.627015,1.150199,14.194716,2.624674,7.392389,14.958715
2012,8.090965,3.709411,1.119734,13.638484,2.707923,7.716147,14.833712
2013,7.866266,3.736972,1.105531,13.798911,2.812395,7.433468,14.368020
2014,7.543128,3.754162,1.144746,13.750503,2.822683,7.402698,14.027586
2015,7.532583,3.725460,1.095402,13.268298,2.742475,7.493190,14.083973
2016,7.493995,3.710752,1.093159,12.869779,2.616291,7.489129,14.106087
2017,7.525481,3.786640,1.074021,12.644467,2.550184,7.599110,14.044791
2018,7.489150,3.885509,1.058026,12.888320,2.445511,7.479820,13.883504
2019,7.244272,3.952736,1.080601,12.532455,2.468133,7.694649,13.716958
2020,6.695663,3.887421,0.992010,11.187427,2.190201,7.428805,12.986884
2021,7.023494,4.014749,1.043981,11.860017,2.453070,7.696268,12.578242
2022,6.811843,4.149414,1.008846,11.900082,2.432126,7.563813,12.290371
2023,6.544920,4.269669,1.001093,11.554931,2.436751,7.694431,12.168436
2024,6.540479,4.316167,0.991775,11.430380,2.431698,7.762237,12.157175
