"Year","World","China","USA","EU27","India","RoW"
2000,64.406699,33.460660,339.509187,151.601286,12.677149,57.801016
2001,64.169455,35.107021,328.219363,154.031802,12.493888,57.667031
2002,64.695079,37.991317,329.764315,152.826581,12.695796,57.728611
2003,66.080170,43.991317,327.617972,155.029905,12.922024,58.099213
2004,68.553646,51.173391,330.742392,156.733207,13.793717,59.535811
2005,69.921704,57.783379,327.628584,156.247315,14.367924,59.994367
2006,70.948924,62.951895,321.761455,156.904309,14.901384,60.474174
2007,72.251361,68.017459,322.816046,154.543471,15.930661,61.137757
2008,72.178961,70.229563,311.722451,153.489070,16.619745,61.221344
2009,70.119136,72.827100,293.477314,143.787084,17.590997,58.935395
2010,72.598526,77.392108,300.366270,149.359138,18.088249,60.797826
2011,73.364286,82.934367,294.884500,144.680572,18.801751,61.241685
2012,73.488944,85.757763,284.346122,142.891247,19.532700,61.535063
2013,73.858239,88.374564,289.346921,141.664467,19.900012,61.126151
2014,73.759046,90.078502,289.634270,136.911829,20.993914,60.698716
2015,73.420526,90.599855,284.217125,138.251884,21.394910,60.237639
2016,73.452846,90.452283,281.358362,139.269806,22.133569,60.416991
2017,74.219129,93.416887,279.826781,141.576059,22.695436,60.696654
2018,75.356976,97.445025,287.618223,140.837988,23.735411,60.737754
2019,75.442129,101.634938,283.260487,138.558805,24.055445,60.171572
2020,72.115876,104.745367,261.225611,127.943890,22.566370,56.610765
2021,75.147458,110.660216,274.706558,134.868400,24.297690,58.188251
2022,75.874658,112.448546,279.459794,129.153692,25.405871,59.061434
2023,76.628762,119.120648,274.776686,125.062848,27.105986,58.797210
2024,77.953406,124.252034,276.478443,126.836439,28.126541,59.269605
