"Year","LUC","LUC_upper","LUC_lower","Emissions","Plus1SD","Minus1SD","Total emissions","Plus1SD","Minus1SD"
1959,8.692767,11.257567,6.127967,8.805931,9.246228,8.365634,17.498698,20.101016,14.896380
1960,7.610568,10.175368,5.045768,9.333301,9.799966,8.866636,16.943868,19.550778,14.336959
1961,7.630158,10.194958,5.065358,9.357776,9.825665,8.889887,16.987934,19.595062,14.380805
1962,7.138400,9.703200,4.573600,9.685880,10.170174,9.201586,16.824280,19.434402,14.214157
1963,6.953332,9.518132,4.388532,10.201490,10.711565,9.691416,17.154822,19.769851,14.539793
1964,6.659918,9.224718,4.095118,10.753067,11.290720,10.215413,17.412985,20.033533,14.792437
1965,6.385424,8.950224,3.820624,11.235373,11.797142,10.673605,17.620797,20.246399,14.995196
1966,5.917140,8.481940,3.352340,11.781888,12.370983,11.192794,17.699028,20.330612,15.067445
1967,6.250528,8.815328,3.685728,12.152682,12.760316,11.545047,18.403209,21.039005,15.767414
1968,6.327130,8.891930,3.762330,12.814728,13.455464,12.173992,19.141858,21.785481,16.498235
1969,6.940544,9.505344,4.375744,13.665913,14.349209,12.982617,20.606457,23.260716,17.952198
1970,6.689670,9.254470,4.124870,14.797523,15.537399,14.057647,21.487193,24.156578,18.817808
1971,6.139398,8.704198,3.574598,15.395987,16.165786,14.626188,21.535385,24.213219,18.857552
1972,6.438088,9.002888,3.873288,16.110206,16.915716,15.304695,22.548293,25.236610,19.859977
1973,6.254265,8.819065,3.689465,16.954199,17.801909,16.106489,23.208464,25.909725,20.507203
1974,6.312999,8.877799,3.748199,16.872192,17.715802,16.028583,23.185191,25.885168,20.485214
1975,6.123497,8.688297,3.558697,16.861610,17.704690,16.018529,22.985107,25.684918,20.285295
1976,6.060280,8.625080,3.495480,17.726948,18.613295,16.840600,23.787228,26.500862,21.073594
1977,6.620091,9.184891,4.055291,18.215793,19.126583,17.305003,24.835884,27.557600,22.114168
1978,6.563897,9.128697,3.999097,18.873185,19.816844,17.929525,25.437082,28.169973,22.704191
1979,5.855829,8.420629,3.291029,19.352258,20.319871,18.384645,25.208087,27.949341,22.466833
1980,6.001314,8.566114,3.436514,19.249616,20.212096,18.287135,25.250930,27.990377,22.511483
1981,5.836581,8.401381,3.271781,18.717167,19.653025,17.781308,24.553748,27.283955,21.823541
1982,5.531553,8.096353,2.966753,18.565190,19.493449,17.636930,24.096743,26.824354,21.369131
1983,5.839854,8.404654,3.275054,18.732842,19.669485,17.796200,24.572697,27.303172,21.842221
1984,6.424800,8.989600,3.860000,19.283517,20.247692,18.319341,25.708316,28.448359,22.968273
1985,6.787743,9.352543,4.222943,19.967095,20.965450,18.968740,26.754838,29.507094,24.002582
1986,6.943317,9.508117,4.378517,20.253736,21.266423,19.241049,27.197053,29.954540,24.439566
1987,6.497945,9.062745,3.933145,20.914376,21.960095,19.868658,27.412322,30.182110,24.642533
1988,6.156680,8.721480,3.591880,21.717416,22.803287,20.631546,27.874097,30.659292,25.088901
1989,5.980820,8.545620,3.416020,21.992187,23.091796,20.892577,27.973007,30.763588,25.182427
1990,5.829070,8.393870,3.264270,22.520932,23.646979,21.394885,28.350002,31.151105,25.548898
1991,5.720298,8.285098,3.155498,22.988366,24.137784,21.838948,28.708664,31.519244,25.898084
1992,5.967899,8.532699,3.403099,22.293328,23.407994,21.178661,28.261227,31.057774,25.464679
1993,5.733293,8.298093,3.168493,22.512582,23.638211,21.386953,28.245875,31.046811,25.444940
1994,6.668907,9.233707,4.104107,22.724938,23.861185,21.588692,29.393846,32.199065,26.588627
1995,6.278081,8.842881,3.713281,23.255308,24.418074,22.092543,29.533389,32.349454,26.717324
1996,6.541828,9.106628,3.977028,23.961272,25.159336,22.763209,30.503100,33.333922,27.672277
1997,8.019617,10.584417,5.454817,24.097999,25.302899,22.893099,32.117615,34.951338,29.283893
1998,6.792238,9.357038,4.227438,24.009774,25.210262,22.809285,30.802011,33.633861,27.970162
1999,6.561858,9.126658,3.997058,24.542001,25.769102,23.314901,31.103859,33.947092,28.260626
2000,6.145762,8.710562,3.580962,25.205764,26.466052,23.945476,31.351525,34.209239,28.493812
2001,5.460703,8.025503,2.895903,25.376733,26.645569,24.107896,30.837436,33.698930,27.975943
2002,6.093696,8.658496,3.528896,25.932334,27.228951,24.635717,32.026030,34.899950,29.152111
2003,7.321209,9.886009,4.756409,27.294977,28.659726,25.930228,34.616186,37.521481,31.710891
2004,6.443865,9.008665,3.879065,28.228591,29.640021,26.817162,34.672456,37.599969,31.744943
2005,5.931112,8.495912,3.366312,29.191484,30.651059,27.731910,35.122597,38.073623,32.171570
2006,6.033741,8.598541,3.468941,30.152000,31.659600,28.644400,36.185741,39.160814,33.210669
2007,5.593206,8.158006,3.028406,31.022963,32.574111,29.471815,36.616169,39.613544,33.618794
2008,5.951020,8.515820,3.386220,31.553586,33.131265,29.975907,37.504606,40.515797,34.493415
2009,6.534817,9.099617,3.970017,30.990657,32.540190,29.441125,37.525475,40.522015,34.528935
2010,6.517829,9.082629,3.953029,32.759941,34.397938,31.121944,39.277769,42.320997,36.234542
2011,6.392556,8.957356,3.827756,33.880891,35.574935,32.186846,40.273447,43.347205,37.199690
2012,6.682122,9.246922,4.117322,34.326833,36.043175,32.610491,41.008955,44.095058,37.922853
2013,6.319521,8.884321,3.754721,34.611854,36.342447,32.881261,40.931375,44.025425,37.837324
2014,6.409912,8.974712,3.845112,34.779625,36.518606,33.040644,41.189537,44.288287,38.090786
2015,6.512626,9.077426,3.947826,34.709123,36.444580,32.973667,41.221749,44.318523,38.124975
2016,5.376554,7.941354,2.811754,34.688706,36.423141,32.954271,40.065259,43.161461,36.969058
2017,5.307768,7.872568,2.742968,35.259469,37.022443,33.496496,40.567237,43.679515,37.454959
2018,4.882024,7.446824,2.317224,36.002444,37.802566,34.202322,40.884468,44.017938,37.750997
2019,4.887178,7.451978,2.322378,36.318688,38.134622,34.502754,41.205866,44.348447,38.063284
2020,4.516540,7.081340,1.951740,34.375423,36.094194,32.656652,38.891962,41.979416,35.804508
2021,4.657103,7.221903,2.092303,36.044599,37.846829,34.242369,40.701702,43.836384,37.567020
2022,4.785392,7.350192,2.220592,36.718409,38.554329,34.882489,41.503801,44.657973,38.349628
2023,4.745552,7.310352,2.180752,37.260958,39.124006,35.397910,42.006510,45.176549,38.836471
2024,4.585508,7.150308,2.020708,37.776778,39.665617,35.887939,42.362286,45.547551,39.177021
2025,4.140320,6.705120,1.575520,38.106503,40.386669,35.842133,42.246823,45.678638,38.825482
