"Year","Historical","1.5C / 250 GtCO2","1.7C / 600 GtCO2","2.0C / 1100 GtCO2"
1850,2.910870,,,
1851,3.019546,,,
1852,3.124945,,,
1853,3.152687,,,
1854,3.230597,,,
1855,3.288080,,,
1856,3.322114,,,
1857,3.372864,,,
1858,3.397970,,,
1859,3.458485,,,
1860,3.228275,,,
1861,3.115803,,,
1862,3.048249,,,
1863,3.042359,,,
1864,3.096068,,,
1865,3.043131,,,
1866,3.070036,,,
1867,3.055824,,,
1868,3.057755,,,
1869,3.080701,,,
1870,3.447550,,,
1871,3.566819,,,
1872,3.788768,,,
1873,3.879655,,,
1874,3.939355,,,
1875,4.013273,,,
1876,4.078097,,,
1877,4.180693,,,
1878,4.241147,,,
1879,4.348401,,,
1880,4.481338,,,
1881,4.491631,,,
1882,4.621834,,,
1883,4.742019,,,
1884,4.759060,,,
1885,4.772625,,,
1886,4.783079,,,
1887,4.893109,,,
1888,5.001777,,,
1889,5.037133,,,
1890,5.423613,,,
1891,5.575736,,,
1892,5.562223,,,
1893,5.582068,,,
1894,5.715949,,,
1895,5.786032,,,
1896,5.850712,,,
1897,5.993856,,,
1898,6.098222,,,
1899,6.291440,,,
1900,6.423621,,,
1901,6.611075,,,
1902,6.704710,,,
1903,6.927691,,,
1904,7.062163,,,
1905,7.244465,,,
1906,7.420486,,,
1907,7.778839,,,
1908,7.711733,,,
1909,7.906798,,,
1910,7.848428,,,
1911,7.862826,,,
1912,7.921230,,,
1913,8.145113,,,
1914,7.824466,,,
1915,7.701369,,,
1916,7.941577,,,
1917,8.015733,,,
1918,7.922890,,,
1919,7.426347,,,
1920,8.323490,,,
1921,8.100611,,,
1922,8.321306,,,
1923,8.871153,,,
1924,8.830049,,,
1925,8.989484,,,
1926,8.943637,,,
1927,9.284173,,,
1928,9.322985,,,
1929,9.670663,,,
1930,9.396154,,,
1931,9.055698,,,
1932,8.750723,,,
1933,8.876259,,,
1934,9.221995,,,
1935,9.337535,,,
1936,9.841599,,,
1937,10.110340,,,
1938,9.882509,,,
1939,10.092081,,,
1940,10.614902,,,
1941,10.876163,,,
1942,10.874415,,,
1943,10.956732,,,
1944,10.978075,,,
1945,10.143138,,,
1946,10.424156,,,
1947,10.929699,,,
1948,11.156550,,,
1949,10.869001,,,
1950,12.563457,,,
1951,13.555028,,,
1952,13.692738,,,
1953,14.005954,,,
1954,14.565184,,,
1955,15.403592,,,
1956,15.949217,,,
1957,16.426014,,,
1958,16.585682,,,
1959,17.498698,,,
1960,16.943868,,,
1961,16.987934,,,
1962,16.824280,,,
1963,17.154822,,,
1964,17.412985,,,
1965,17.620797,,,
1966,17.699028,,,
1967,18.403209,,,
1968,19.141858,,,
1969,20.606457,,,
1970,21.487193,,,
1971,21.535385,,,
1972,22.548293,,,
1973,23.208464,,,
1974,23.185191,,,
1975,22.985107,,,
1976,23.787228,,,
1977,24.835884,,,
1978,25.437082,,,
1979,25.208087,,,
1980,25.250930,,,
1981,24.553748,,,
1982,24.096743,,,
1983,24.572697,,,
1984,25.708316,,,
1985,26.754838,,,
1986,27.197053,,,
1987,27.412322,,,
1988,27.874097,,,
1989,27.973007,,,
1990,28.350002,,,
1991,28.708664,,,
1992,28.261227,,,
1993,28.245875,,,
1994,29.393846,,,
1995,29.533389,,,
1996,30.503100,,,
1997,32.117615,,,
1998,30.802011,,,
1999,31.103859,,,
2000,31.351525,,,
2001,30.837436,,,
2002,32.026030,,,
2003,34.616186,,,
2004,34.672456,,,
2005,35.122597,,,
2006,36.185741,,,
2007,36.616169,,,
2008,37.504606,,,
2009,37.525475,,,
2010,39.277769,,,
2011,40.273447,,,
2012,41.008955,,,
2013,40.931375,,,
2014,41.189537,,,
2015,41.221749,,,
2016,40.065259,,,
2017,40.567237,,,
2018,40.884468,,,
2019,41.205866,,,
2020,38.891962,,,
2021,40.701702,,,
2022,41.503801,,,
2023,42.006510,,,
2024,42.362286,,,
2025,42.246823,42.246823,42.246823,42.246823
2026,,38.677235,40.759494,41.435553
2027,,35.107647,39.272166,40.624283
2028,,31.538059,37.784838,39.813013
2029,,27.968470,36.297509,39.001743
2030,,24.398882,34.810181,38.190473
2031,,20.829294,33.322853,37.379203
2032,,17.259706,31.835524,36.567933
2033,,13.690118,30.348196,35.756663
2034,,10.120530,28.860867,34.945393
2035,,6.550942,27.373539,34.134123
2036,,2.981354,25.886211,33.322853
2037,,0,24.398882,32.511583
2038,,0,22.911554,31.700313
2039,,0,21.424226,30.889042
2040,,0,19.936897,30.077772
2041,,0,18.449569,29.266502
2042,,0,16.962241,28.455232
2043,,0,15.474912,27.643962
2044,,0,13.987584,26.832692
2045,,0,12.500256,26.021422
2046,,0,11.012927,25.210152
2047,,0,9.525599,24.398882
2048,,0,8.038271,23.587612
2049,,0,6.550942,22.776342
2050,,0,5.063614,21.965072
2051,,0,3.576285,21.153802
2052,,0,2.088957,20.342532
2053,,0,0.601629,19.531262
2054,,0,0,18.719992
2055,,0,0,17.908722
2056,,0,0,17.097452
2057,,0,0,16.286182
2058,,0,0,15.474912
2059,,0,0,14.663642
2060,,0,0,13.852372
2061,,0,0,13.041102
2062,,0,0,12.229832
2063,,0,0,11.418562
2064,,0,0,10.607292
2065,,0,0,9.796022
2066,,0,0,8.984752
2067,,0,0,8.173482
2068,,0,0,7.362212
2069,,0,0,6.550942
2070,,0,0,5.739672
2071,,0,0,4.928402
2072,,0,0,4.117132
2073,,0,0,3.305862
2074,,0,0,2.494592
2075,,0,0,1.683322
2076,,0,0,0.872052
2077,,0,0,0.060782
2078,,0,0,0
2079,,0,0,0
2080,,0,0,0
2081,,0,0,0
2082,,0,0,0
2083,,0,0,0
2084,,0,0,0
2085,,0,0,0
2086,,0,0,0
2087,,0,0,0
2088,,0,0,0
2089,,0,0,0
2090,,0,0,0
2091,,0,0,0
2092,,0,0,0
2093,,0,0,0
2094,,0,0,0
2095,,0,0,0
2096,,0,0,0
2097,,0,0,0
2098,,0,0,0
2099,,0,0,0
2100,,0,0,0
