"Year","Cumulative","Territorial","Consumption","Population","GDP-MER","GDP-PPP"
1,15.161691,32.259733,28.500583,17.580716,18.405683,19.135465
2,23.833736,12.873718,14.258552,4.244792,23.642560,15.558649
3,3.494436,8.383143,6.676150,17.772080,3.517006,7.589777
4,16.411117,6.368885,8.668546,5.569356,16.641026,14.610230
5,41.099021,40.114522,41.896170,54.833056,37.793725,43.105880
