"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,2.678696,34.026164,5244845.817901,370867229
1966,2.760302,35.181131,5490634.323359,373786444
1967,2.822136,36.398709,5684791.458048,376493952
1968,2.995612,38.973609,6002735.566339,379165115
1969,3.194592,42.190420,6414120.085807,381993867
1970,3.334414,45.270176,6778045.431323,384384461
1971,3.428460,46.681122,7059633.077262,386827038
1972,3.558672,49.190422,7424111.096507,389707279
1973,3.732199,51.997988,7904841.450373,392415655
1974,3.712971,51.482495,8214921.000026,394860367
1975,3.640123,51.238918,8248205.331995,396893022
1976,3.916066,54.417396,8682012.993973,398786933
1977,3.877845,55.288412,8981539.956028,400767732
1978,4.007998,57.489114,9282256.159092,402652068
1979,4.117395,59.568122,9614025.842800,404554999
1980,4.081316,58.607983,9789562.566072,406686964
1981,3.867043,56.884059,9804778.592601,408606080
1982,3.774743,55.548455,9879662.822022,410027868
1983,3.731654,55.784536,10051973.149570,411187414
1984,3.766663,57.491903,10294958.088418,412217953
1985,3.823649,60.437072,10521258.593590,413267697
1986,3.807141,61.296372,10802991.443881,414423564
1987,3.840889,62.604123,11067687.303977,415621354
1988,3.798377,63.128261,11488214.438497,416955437
1989,3.836181,63.288776,11886706.563006,418482198
1990,3.870253,63.833724,12143021.091811,419997470
1991,3.804530,63.291594,12252444.994281,421419174
1992,3.677736,62.217265,12348096.375091,422863600
1993,3.608154,61.766450,12272401.293533,424104705
1994,3.589454,61.573839,12602094.910310,425188988
1995,3.635878,63.235991,12953806.730891,425847828
1996,3.720710,65.217742,13215261.303611,426181873
1997,3.654451,64.829439,13554326.175754,426651668
1998,3.644649,65.268775,13956899.728682,426655430
1999,3.589161,64.835729,14355093.727160,426830631
2000,3.600416,64.828851,14915305.247698,427627318
2001,3.657100,66.014686,15252729.697564,428578286
2002,3.657391,65.698690,15444863.137236,429890464
2003,3.736359,66.889483,15613278.184053,431461810
2004,3.743384,67.874661,16045503.008824,433058589
2005,3.734892,67.898383,16379172.625067,434557121
2006,3.752005,68.360558,16978806.244650,435683115
2007,3.701868,67.534643,17544565.954582,436994473
2008,3.625826,67.312354,17698094.026782,438548189
2009,3.330504,63.221857,16941308.494453,439690789
2010,3.424327,65.808973,17295782.721569,440608951
2011,3.327059,63.867883,17608351.524860,441440628
2012,3.258616,63.157819,17483463.236638,441999214
2013,3.176529,62.672274,17483011.681175,442399391
2014,3.038861,60.647110,17770317.988749,442964720
2015,3.094907,61.371520,18194292.495902,443910908
2016,3.094515,61.962737,18574392.026117,444911488
2017,3.118460,63.099989,19124032.742633,445696746
2018,3.049484,62.884675,19550093.563849,446503648
2019,2.904949,61.986940,19938251.737109,447369191
2020,2.627051,57.290400,18754388.456346,447777536
2021,2.801469,60.381379,19768386.503743,447705902
2022,2.736946,58.004661,20335884.544245,449113455
2023,2.484997,56.360513,20843826.548593,450657522
2024,2.426166,57.109316,21286707.369453,450259536
