"Year","Europe","Asia","Africa","North America","South America","Middle East","Oceania"
1850,89.803082,0.007447,0,10.084732,0.047816,0,0.056923
1851,88.627672,0.003705,0,11.261703,0.051709,0,0.055212
1852,88.038506,0.002430,0,11.841374,0.063898,0,0.053792
1853,87.484096,0.001787,0,12.394820,0.061183,0,0.058115
1854,87.339762,0.001363,0,12.550302,0.047175,0,0.061398
1855,86.907625,0.004425,0,12.973088,0.049280,0,0.065582
1856,86.595657,0.003662,0,13.228787,0.099100,0,0.072794
1857,86.323337,0.003119,0,13.444163,0.149916,0,0.079464
1858,86.095284,0.023662,0,13.606420,0.189961,0,0.084673
1859,85.860313,0.049075,0,13.786578,0.210151,0,0.093884
1860,85.736036,0.069231,0,13.858012,0.232615,0,0.104106
1861,85.770729,0.080815,0,13.787170,0.250954,0,0.110332
1862,85.762356,0.091121,0,13.757661,0.267315,0,0.121547
1863,85.652966,0.100584,0,13.842775,0.275484,0,0.128191
1864,85.556858,0.107141,0,13.908117,0.290917,0,0.136966
1865,85.539374,0.111641,0,13.895075,0.305814,0.003166,0.144931
1866,85.529089,0.121153,0,13.858710,0.327088,0.006914,0.157046
1867,85.363264,0.118079,0,13.996880,0.345858,0.010331,0.165588
1868,85.105204,0.114296,0,14.225363,0.365630,0.012354,0.177153
1869,84.788325,0.112490,0,14.520258,0.378398,0.015381,0.185147
1870,84.468076,0.111315,0,14.824659,0.388715,0.016420,0.190815
1871,84.192059,0.112163,0,15.085523,0.397148,0.017757,0.195350
1872,83.780726,0.112377,0,15.476874,0.410541,0.019340,0.200142
1873,83.349839,0.111685,0,15.887606,0.423728,0.020532,0.206610
1874,82.944551,0.118605,0,16.258373,0.441523,0.021841,0.215107
1875,82.654039,0.133403,0,16.517079,0.450071,0.023791,0.221617
1876,82.440951,0.147904,0,16.703104,0.455983,0.024787,0.227271
1877,82.149012,0.159757,0,16.971196,0.459129,0.027095,0.233811
1878,81.899660,0.191678,0,17.174661,0.461975,0.028164,0.243861
1879,81.502801,0.222466,0,17.530527,0.463584,0.027491,0.253132
1880,81.087194,0.251735,0,17.910663,0.464095,0.026806,0.259506
1881,80.671650,0.277865,0,18.289938,0.465700,0.026441,0.268405
1882,80.191504,0.303628,0,18.733385,0.466201,0.025851,0.279432
1883,79.711275,0.329627,0,19.174558,0.466351,0.025280,0.292909
