"Year","China","USA","India","EU27","World"
1960,3.206968,0.813768,0.237405,0.529569,0.611867
1961,3.149924,0.792604,0.247551,0.522584,0.588899
1962,2.687058,0.774733,0.264833,0.528842,0.579615
1963,2.421090,0.774944,0.268436,0.538245,0.584205
1964,2.065948,0.764750,0.244633,0.532450,0.574348
1965,1.918573,0.748526,0.276859,0.510729,0.568793
1966,1.904334,0.738377,0.287240,0.502729,0.566086
1967,1.692741,0.747405,0.266703,0.496436,0.562390
1968,1.900421,0.739244,0.281427,0.499041,0.559008
1969,1.993041,0.753276,0.269222,0.498056,0.562842
1970,2.221173,0.812946,0.262242,0.491943,0.577893
1971,2.334334,0.791702,0.272543,0.485643,0.574514
1972,2.395256,0.787907,0.289867,0.479340,0.569628
1973,2.313440,0.779183,0.288993,0.472141,0.560602
1974,2.305024,0.755664,0.294838,0.451979,0.541230
1975,2.440333,0.725342,0.293093,0.441323,0.533308
1976,2.569494,0.720544,0.301273,0.451055,0.530416
1977,2.611308,0.707766,0.297205,0.431757,0.522506
1978,2.603335,0.691519,0.285692,0.431791,0.520794
1979,2.472956,0.671861,0.316532,0.428270,0.513563
1980,2.246543,0.649090,0.313118,0.416905,0.500867
1981,2.111522,0.608055,0.318924,0.394404,0.478007
1982,2.107342,0.587640,0.318402,0.382072,0.470878
1983,2.006117,0.566375,0.321234,0.371236,0.463497
1984,1.896244,0.544316,0.317638,0.365875,0.458644
1985,1.810391,0.524394,0.331856,0.363421,0.460090
1986,1.750077,0.507155,0.339603,0.352415,0.451055
1987,1.681509,0.511317,0.348898,0.347036,0.450074
1988,1.624280,0.512349,0.343660,0.330633,0.448380
1989,1.582948,0.500501,0.356668,0.322729,0.438688
1990,1.536470,0.508223,0.361298,0.318722,0.438854
1991,1.483004,0.503287,0.380655,0.310512,0.443002
1992,1.353912,0.495965,0.384348,0.297838,0.423111
1993,1.268507,0.492073,0.379142,0.294006,0.420594
1994,1.191371,0.480393,0.374777,0.284830,0.413174
1995,1.163052,0.473418,0.371045,0.280680,0.410202
1996,1.104827,0.470942,0.373635,0.281546,0.407555
1997,1.015176,0.456691,0.374080,0.269615,0.394629
1998,0.899239,0.441973,0.359604,0.261136,0.383740
1999,0.883691,0.426452,0.362600,0.250027,0.379290
2000,0.836073,0.425490,0.358586,0.241391,0.372091
2001,0.788750,0.413099,0.346982,0.239767,0.366248
2002,0.795333,0.409256,0.344801,0.236803,0.364854
2003,0.852775,0.402047,0.330708,0.239307,0.370707
2004,0.834626,0.393907,0.325420,0.233298,0.364884
2005,0.845735,0.381605,0.317682,0.228027,0.361080
2006,0.827360,0.366329,0.318068,0.220982,0.354982
2007,0.778834,0.363637,0.318316,0.210998,0.347680
2008,0.763012,0.351189,0.330253,0.204871,0.344392
2009,0.733680,0.334181,0.331443,0.196591,0.340988
2010,0.724449,0.336229,0.317830,0.197986,0.343273
2011,0.731190,0.323489,0.317684,0.188948,0.342107
2012,0.695482,0.304427,0.328765,0.186383,0.336487
2013,0.656930,0.306881,0.319991,0.181692,0.328882
2014,0.613590,0.303194,0.320716,0.171008,0.320010
2015,0.566447,0.286511,0.308550,0.170103,0.309263
2016,0.524231,0.275348,0.300435,0.166601,0.299517
2017,0.502841,0.266710,0.290070,0.163065,0.293474
2018,0.487381,0.267417,0.291308,0.155983,0.289620
2019,0.475596,0.255322,0.281713,0.145697,0.284376
2020,0.473106,0.236760,0.281819,0.140077,0.278574
2021,0.453320,0.239826,0.285691,0.141715,0.275743
2022,0.450776,0.232877,0.279490,0.134587,0.271318
2023,0.445864,0.221581,0.282854,0.119220,0.267016
2024,0.428358,0.217806,0.275662,0.113976,0.261737
2025,0.408762,0.217782,0.260427,0.111979,0.255045
