"Year","China","USA","India","EU27","Russia","Japan","United Kingdom","All others"
1850,0,10.054950,0,27.528903,0.035290,0,62.154761,0.226095
1851,0,11.229288,0,28.180043,0.017559,0,60.350241,0.222870
1852,0,11.806144,0,29.138977,0.011516,0,58.810753,0.232610
1853,0,12.356415,0,30.099403,0.008467,0,57.299326,0.236390
1854,0,12.509421,0,30.615816,0.006459,0,56.637019,0.231285
1855,0,12.928925,0,31.449870,0.020970,0,55.346808,0.253426
1856,0,13.180620,0,32.000568,0.017355,0,54.484426,0.317030
1857,0,13.391350,0,32.553163,0.014780,0,53.659884,0.380823
1858,0,13.547715,0.018089,33.145216,0.026409,0,52.816521,0.446050
1859,0,13.722015,0.041515,33.294616,0.035824,0,52.409597,0.496432
1860,0,13.787357,0.059457,33.366216,0.046320,0,52.189188,0.551463
1861,0,13.709469,0.068608,33.598155,0.057849,0,51.961940,0.603979
1862,0,13.670963,0.077301,34.009128,0.065493,0,51.521445,0.655670
1863,0,13.745924,0.085417,34.276083,0.071875,0,51.128733,0.691968
1864,0,13.800773,0.090684,34.520362,0.077992,0,50.769665,0.740524
1865,0,13.775672,0.094320,34.809328,0.082084,0,50.447527,0.791068
1866,0,13.725039,0.098483,35.040610,0.107433,0,50.162346,0.866089
1867,0,13.846177,0.090139,35.252259,0.132409,0,49.742695,0.936321
1868,0,14.071229,0.082914,35.495952,0.147877,0.000178,49.211736,0.990115
1869,0,14.367917,0.076414,35.661630,0.168891,0.000438,48.695979,1.028731
1870,0,14.666543,0.070748,35.757563,0.189129,0.000659,48.245405,1.069954
1871,0,14.915965,0.065579,35.858109,0.216311,0.000940,47.824178,1.118918
1872,0,15.297802,0.060671,35.962985,0.239062,0.001260,47.269495,1.168724
1873,0,15.703687,0.056202,36.079232,0.255306,0.001610,46.695188,1.208775
1874,0,16.069300,0.052570,36.011460,0.277249,0.007532,46.321410,1.260479
1875,0,16.321997,0.049131,36.104257,0.300461,0.020870,45.898934,1.304350
1876,0,16.503084,0.046075,36.257542,0.329912,0.032213,45.485012,1.346163
1877,0,16.765576,0.043327,36.296671,0.356439,0.041216,45.109505,1.387264
1878,0,16.964749,0.054989,36.384017,0.393185,0.053723,44.716823,1.432514
1879,0,17.315575,0.064530,36.442893,0.425779,0.068092,44.211280,1.471852
1880,0,17.671118,0.073961,36.556780,0.460635,0.080575,43.628898,1.528033
1881,0,18.026949,0.081832,36.593054,0.493563,0.091885,43.128357,1.584360
1882,0,18.443897,0.090783,36.628498,0.524196,0.102233,42.566637,1.643756
1883,0,18.857794,0.099835,36.670664,0.557243,0.112206,41.994457,1.707800
1884,0,19.289154,0.109419,36.704388,0.587152,0.122357,41.410354,1.777176
1885,0,19.690754,0.116509,36.744030,0.618797,0.133439,40.851716,1.844755
1886,0,20.112553,0.124345,36.760083,0.648256,0.144564,40.304378,1.905822
