"Year","deforestation_tot","forest_regrowth_tot","deforestation_perm","forest_regrowth_AR"
1959,7.969163,-3.108892,6.118819,-1.318161
1960,7.132526,-3.136469,5.212003,-1.330056
1961,7.063020,-3.146289,5.098725,-1.338569
1962,6.903294,-3.159382,4.899244,-1.334563
1963,6.775017,-3.171045,4.754003,-1.335308
1964,6.581570,-3.179228,4.545058,-1.329543
1965,6.409081,-3.197182,4.345883,-1.332817
1966,6.130641,-3.212925,4.045728,-1.329617
1967,6.215036,-3.205084,4.127960,-1.318930
1968,6.274087,-3.204693,4.172197,-1.303553
1969,6.893047,-3.219080,4.950943,-1.310307
1970,6.702738,-3.241809,4.663991,-1.331046
1971,6.370401,-3.233907,4.313566,-1.325537
1972,6.622729,-3.248380,4.553497,-1.318185
1973,6.516375,-3.255330,4.429336,-1.311187
1974,6.476511,-3.231086,4.385136,-1.292476
1975,6.410889,-3.240417,4.309768,-1.288824
1976,6.308846,-3.233627,4.196575,-1.271530
1977,6.648291,-3.243043,4.525077,-1.264459
1978,6.602308,-3.243019,4.459577,-1.257326
1979,6.164521,-3.264587,4.003653,-1.256947
1980,6.210761,-3.259250,4.037728,-1.245076
1981,6.156631,-3.262633,3.971483,-1.244673
1982,5.952876,-3.268557,3.739051,-1.240032
1983,6.061441,-3.275518,3.862992,-1.231324
1984,6.468536,-3.257772,4.297554,-1.219416
1985,6.829574,-3.259470,4.660730,-1.217694
1986,6.982363,-3.282553,4.809391,-1.233034
1987,6.726567,-3.313074,4.539378,-1.240618
1988,6.412953,-3.324738,4.172881,-1.250413
1989,6.172826,-3.329062,3.929200,-1.255580
1990,6.070711,-3.410708,3.785120,-1.307901
1991,6.052391,-3.463347,3.748626,-1.353958
1992,6.246778,-3.492171,3.956656,-1.379081
1993,6.200612,-3.514631,3.877013,-1.390683
1994,7.172292,-3.556413,4.889083,-1.433271
1995,6.970235,-3.611373,4.640236,-1.474736
1996,6.954113,-3.605120,4.605135,-1.472220
1997,7.190368,-3.642895,4.816792,-1.497416
1998,7.796332,-3.710496,5.421755,-1.543509
1999,7.652887,-3.738794,5.260099,-1.582958
2000,7.406837,-3.805785,4.986191,-1.633081
2001,7.017684,-3.867010,4.559970,-1.675645
2002,7.158308,-3.935808,4.681725,-1.728712
2003,8.340119,-4.005204,5.815171,-1.779397
2004,7.478029,-4.025967,4.966149,-1.791061
2005,7.129802,-4.079656,4.605123,-1.824159
2006,6.853463,-4.176533,4.326329,-1.916748
2007,6.945772,-4.200739,4.390913,-1.930171
2008,7.106304,-4.203756,4.533956,-1.926666
2009,7.325985,-4.255626,4.702793,-1.951165
2010,7.474707,-4.407719,4.814728,-2.083045
2011,7.407765,-4.445433,4.742462,-2.126476
2012,7.565036,-4.463204,4.870922,-2.115093
2013,7.473082,-4.486605,4.753576,-2.123667
2014,7.500574,-4.579426,4.756544,-2.188788
2015,7.308385,-4.620267,4.492284,-2.196739
2016,7.121839,-4.669108,4.257922,-2.218723
2017,7.190307,-4.705516,4.297188,-2.242173
2018,6.900619,-4.712234,3.954787,-2.222595
2019,6.715159,-4.758962,3.702961,-2.231376
2020,6.752227,-4.778735,3.686363,-2.219407
2021,6.864406,-4.792793,3.773248,-2.210772
2022,6.986137,-4.802576,3.870967,-2.201429
2023,6.878537,-4.840022,3.711754,-2.192452
2024,6.858336,-4.859490,3.648721,-2.177014
