"Year","Land-use change","Coal","Oil","Gas","Others"
1850,93.237500,6.762500,0,0,0
1851,93.328863,6.671137,0,0,0
1852,93.338518,6.661482,0,0,0
1853,93.279366,6.720634,0,0,0
1854,93.033736,6.966264,0,0,0
1855,92.867110,7.132694,0.000196,0,0
1856,92.679876,7.319775,0.000349,0,0
1857,92.545018,7.454477,0.000504,0,0
1858,92.433184,7.566155,0.000661,0,0
1859,92.306550,7.692689,0.000761,0,0
1860,92.070163,7.928376,0.001461,0,0
1861,91.805776,8.190444,0.003780,0,0
1862,91.550894,8.442246,0.006860,0,0
1863,91.276962,8.713753,0.009285,0,0
1864,90.985271,9.003724,0.011005,0,0
1865,90.669608,9.317450,0.012942,0,0
1866,90.368023,9.616152,0.015825,0,0
1867,90.040743,9.940798,0.018459,0,0
1868,89.724324,10.254345,0.021331,0,0
1869,89.394508,10.581061,0.024431,0,0
1870,89.138372,10.833755,0.027872,0,0
1871,88.878341,11.090525,0.031134,0,0
1872,88.594806,11.370653,0.034541,0,0
1873,88.301763,11.658132,0.040105,0,0
1874,88.096441,11.857750,0.045809,0,0
1875,87.859331,12.090200,0.050468,0,0
1876,87.641726,12.302823,0.055451,0,0
1877,87.442417,12.495214,0.062369,0,0
1878,87.262203,12.667904,0.069893,0,0
1879,87.061517,12.859216,0.079267,0,0
1880,86.801518,13.108027,0.090294,0,0.000161
1881,86.536808,13.360742,0.102110,0,0.000341
1882,86.264927,13.620027,0.114344,0.000142,0.000560
1883,85.978379,13.896842,0.123502,0.000451,0.000826
1884,85.705924,14.158250,0.133400,0.001367,0.001059
1885,85.448938,14.402563,0.143050,0.004165,0.001285
1886,85.199774,14.634894,0.154124,0.009693,0.001516
1887,84.942831,14.872048,0.165496,0.017765,0.001860
1888,84.634029,15.158367,0.176727,0.028709,0.002168
1889,84.348982,15.422934,0.189713,0.035888,0.002483
1890,84.054392,15.695270,0.205367,0.042148,0.002824
1891,83.756275,15.970740,0.223593,0.046241,0.003150
1892,83.470196,16.236715,0.240246,0.049362,0.003482
1893,83.214592,16.472510,0.257152,0.051992,0.003755
1894,82.960282,16.709293,0.272316,0.054084,0.004025
1895,82.682829,16.966518,0.290147,0.056213,0.004293
1896,82.402213,17.226208,0.308912,0.058089,0.004578
1897,82.114173,17.493062,0.327827,0.060034,0.004904
1898,81.808754,17.777326,0.346252,0.062413,0.005255
1899,81.462739,18.101147,0.364632,0.065766,0.005716
1900,81.102754,18.436783,0.385090,0.069178,0.006195
1901,80.751636,18.761293,0.407382,0.072926,0.006764
1902,80.406421,19.078413,0.430863,0.076792,0.007512
1903,80.019932,19.436381,0.454597,0.080714,0.008376
1904,79.656302,19.767990,0.481053,0.084629,0.010026
1905,79.268096,20.124889,0.506013,0.089061,0.011940
1906,78.874047,20.488335,0.529537,0.093904,0.014178
1907,78.396597,20.929312,0.559138,0.098662,0.016290
1908,77.983137,21.304851,0.590637,0.103099,0.018276
1909,77.566392,21.682293,0.621959,0.108592,0.020764
1910,77.118157,22.089001,0.655077,0.114289,0.023475
1911,76.678984,22.485638,0.689352,0.119950,0.026076
1912,76.215500,22.906524,0.723145,0.126149,0.028682
1913,75.706063,23.367513,0.762632,0.132350,0.031442
1914,75.300100,23.725258,0.802178,0.138542,0.033923
1915,74.919306,24.055708,0.843682,0.145021,0.036283
1916,74.499005,24.421301,0.887906,0.153036,0.038752
1917,74.058219,24.802535,0.936925,0.161267,0.041053
1918,73.644947,25.158855,0.985578,0.168031,0.042590
1919,73.342576,25.396471,1.041432,0.175136,0.044385
1920,72.980533,25.674218,1.116232,0.182526,0.046491
1921,72.733460,25.832221,1.198082,0.187916,0.048321
1922,72.473607,25.995018,1.286444,0.194302,0.050630
1923,72.151968,26.210192,1.381172,0.203302,0.053366
1924,71.838395,26.420108,1.471523,0.213718,0.056256
1925,71.543434,26.610067,1.562579,0.224626,0.059293
1926,71.273082,26.778181,1.650134,0.236338,0.062265
1927,70.958717,26.983322,1.743785,0.248968,0.065208
1928,70.664103,27.164354,1.836370,0.262550,0.072623
1929,70.339531,27.364950,1.935696,0.279884,0.079939
1930,70.082991,27.506236,2.027238,0.296953,0.086581
1931,69.905203,27.579292,2.112457,0.311124,0.091925
1932,69.787795,27.601849,2.190666,0.323978,0.095712
1933,69.647332,27.640500,2.276127,0.336837,0.099205
1934,69.473824,27.707325,2.364162,0.351226,0.103463
1935,69.278054,27.788730,2.458019,0.366878,0.108319
1936,69.047241,27.896177,2.557943,0.384348,0.114292
1937,68.785927,28.019249,2.670576,0.403833,0.120415
1938,68.571352,28.105383,2.775630,0.421802,0.125833
1939,68.332502,28.215303,2.881578,0.440021,0.130595
1940,68.057520,28.359538,2.989239,0.459346,0.134357
1941,67.787595,28.501122,3.093412,0.477710,0.140161
1942,67.530659,28.641740,3.185142,0.497570,0.144889
1943,67.272005,28.775860,3.283782,0.519499,0.148855
1944,67.009290,28.894465,3.402536,0.543070,0.150639
1945,66.854273,28.905402,3.518047,0.569718,0.152561
1946,66.667903,28.940976,3.638243,0.596371,0.156508
1947,66.426133,29.013627,3.773395,0.625467,0.161377
1948,66.160531,29.091758,3.921938,0.658378,0.167395
1949,65.926618,29.150236,4.055367,0.693589,0.174189
1950,65.678632,29.182179,4.212608,0.733731,0.192850
1951,65.423985,29.200155,4.382478,0.780566,0.212817
1952,65.173955,29.203651,4.559078,0.829869,0.233447
1953,64.923360,29.198317,4.743574,0.880755,0.253994
1954,64.690885,29.169320,4.933179,0.932658,0.273959
1955,64.419240,29.153355,5.142797,0.987621,0.296986
1956,64.120708,29.146363,5.366476,1.044893,0.321560
1957,63.823368,29.132306,5.592074,1.106844,0.345408
1958,63.516590,29.121673,5.820657,1.173503,0.367576
1959,63.210081,29.102143,6.055100,1.242518,0.390158
1960,62.826682,29.128043,6.310908,1.318794,0.415573
1961,62.457687,29.125558,6.578585,1.397577,0.440592
1962,62.057335,29.126797,6.866096,1.483549,0.466222
1963,61.627496,29.137421,7.167928,1.574685,0.492470
1964,61.162992,29.150821,7.489738,1.673750,0.522700
1965,60.671871,29.165268,7.831028,1.777162,0.554671
1966,60.143324,29.183117,8.196389,1.888294,0.588876
1967,59.625329,29.168916,8.575062,2.003623,0.627070
1968,59.089409,29.138657,8.979485,2.126066,0.666383
1969,58.549290,29.086189,9.399907,2.255532,0.709082
1970,57.955102,29.028222,9.876191,2.385745,0.754741
1971,57.329152,28.971276,10.371117,2.524271,0.804184
1972,56.702399,28.887663,10.888867,2.665824,0.855247
1973,56.049940,28.805438,11.420088,2.813685,0.910850
1974,55.431774,28.726976,11.917820,2.960212,0.963218
1975,54.832232,28.671300,12.388523,3.099800,1.008144
1976,54.212873,28.615778,12.872274,3.241754,1.057321
1977,53.618466,28.549421,13.349100,3.379335,1.103678
1978,53.017086,28.482590,13.829598,3.520262,1.150464
1979,52.392440,28.447657,14.299957,3.666324,1.193621
1980,51.803111,28.428002,14.725397,3.812191,1.231300
1981,51.252549,28.421410,15.108163,3.956100,1.261779
1982,50.717326,28.434714,15.465663,4.091142,1.291154
1983,50.206978,28.452518,15.799500,4.222822,1.318182
1984,49.716828,28.469082,16.109078,4.363013,1.341998
1985,49.233956,28.503995,16.394972,4.503043,1.364034
1986,48.765202,28.536740,16.681879,4.630787,1.385393
1987,48.275618,28.583981,16.961320,4.771636,1.407444
1988,47.765612,28.639923,17.245896,4.916174,1.432394
1989,47.259706,28.691106,17.528426,5.066291,1.454470
1990,46.750856,28.721978,17.806451,5.221767,1.498948
1991,46.242870,28.739295,18.099793,5.374179,1.543863
1992,45.782285,28.750406,18.355357,5.525686,1.586266
1993,45.323593,28.768046,18.602949,5.678474,1.626938
1994,44.906582,28.767176,18.829842,5.823724,1.672676
1995,44.476810,28.778514,19.052157,5.972697,1.719823
1996,44.052261,28.785660,19.271902,6.123806,1.766371
1997,43.687768,28.762389,19.473470,6.264336,1.812037
1998,43.299069,28.747926,19.689196,6.407237,1.856573
1999,42.903484,28.735685,19.907510,6.552016,1.901304
2000,42.492584,28.738984,20.123532,6.698645,1.946255
2001,42.070113,28.752846,20.341595,6.844489,1.990958
2002,41.668687,28.770250,20.538417,6.988560,2.034086
2003,41.288654,28.791447,20.714378,7.127537,2.077984
2004,40.875469,28.828543,20.902892,7.269522,2.123575
2005,40.441273,28.891999,21.084994,7.410688,2.171045
2006,40.005687,28.969089,21.254680,7.550439,2.220104
2007,39.555228,29.065511,21.415477,7.693481,2.270304
2008,39.120881,29.166182,21.559234,7.836119,2.317584
2009,38.728611,29.255728,21.685927,7.966920,2.362814
2010,38.317719,29.360138,21.806521,8.106750,2.408872
2011,37.898181,29.482529,21.915029,8.245974,2.458287
2012,37.494017,29.597690,22.017563,8.383240,2.507490
2013,37.089389,29.712929,22.120434,8.517855,2.559394
2014,36.698648,29.823124,22.218907,8.647998,2.611323
2015,36.325382,29.913781,22.322289,8.778623,2.659925
2016,35.935117,30.001793,22.438114,8.916634,2.708342
2017,35.547581,30.087569,22.552918,9.055083,2.756848
2018,35.151121,30.177227,22.663206,9.201126,2.807320
2019,34.762955,30.257340,22.773881,9.347154,2.858670
2020,34.403665,30.344979,22.847355,9.494826,2.909175
2021,34.036603,30.435282,22.924592,9.644876,2.958647
2022,33.675821,30.531739,23.007683,9.782851,3.001906
2023,33.318366,30.626141,23.097106,9.916214,3.042173
2024,32.962098,30.719894,23.187831,10.051690,3.078487
