"Year","Emissions","Intensity","Crisis1","Crisis2","Crisis3","Crisis4","Crisis5","Crisis6"
1959,8.855112,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1960,9.386951,611.866866,"NaN","NaN","NaN","NaN","NaN","NaN"
1961,9.414990,588.899424,"NaN","NaN","NaN","NaN","NaN","NaN"
1962,9.747241,579.615366,"NaN","NaN","NaN","NaN","NaN","NaN"
1963,10.266778,584.205031,"NaN","NaN","NaN","NaN","NaN","NaN"
1964,10.824470,574.347768,"NaN","NaN","NaN","NaN","NaN","NaN"
1965,11.310603,568.793323,"NaN","NaN","NaN","NaN","NaN","NaN"
1966,11.862625,566.085963,"NaN","NaN","NaN","NaN","NaN","NaN"
1967,12.237371,562.390397,"NaN","NaN","NaN","NaN","NaN","NaN"
1968,12.905274,559.007538,"NaN","NaN","NaN","NaN","NaN","NaN"
1969,13.761797,562.841592,13.894718,"NaN","NaN","NaN","NaN","NaN"
1970,14.899138,577.892830,"NaN","NaN","NaN","NaN","NaN","NaN"
1971,15.503864,574.514248,"NaN","NaN","NaN","NaN","NaN","NaN"
1972,16.224581,569.628463,"NaN","NaN","NaN","NaN","NaN","NaN"
1973,17.077286,560.601932,"NaN","NaN","NaN","NaN","NaN","NaN"
1974,16.997912,541.230401,"NaN","NaN","NaN","NaN","NaN","NaN"
1975,16.988477,533.308392,"NaN",17.027600,"NaN","NaN","NaN","NaN"
1976,17.862492,530.415673,"NaN","NaN","NaN","NaN","NaN","NaN"
1977,18.358039,522.506338,"NaN","NaN","NaN","NaN","NaN","NaN"
1978,19.024741,520.794453,21.055496,"NaN","NaN","NaN","NaN","NaN"
1979,19.508590,513.563407,"NaN","NaN","NaN","NaN","NaN","NaN"
1980,19.409793,500.866509,"NaN","NaN","NaN","NaN","NaN","NaN"
1981,18.879757,478.006809,"NaN","NaN","NaN","NaN","NaN","NaN"
1982,18.729742,470.878346,"NaN","NaN","NaN","NaN","NaN","NaN"
1983,18.901775,463.497291,"NaN","NaN","NaN","NaN","NaN","NaN"
1984,19.457250,458.644339,"NaN",22.609829,"NaN","NaN","NaN","NaN"
1985,20.144863,460.089764,"NaN","NaN",19.963648,"NaN","NaN","NaN"
1986,20.438045,451.055135,"NaN","NaN","NaN","NaN","NaN","NaN"
1987,21.106190,450.074393,"NaN","NaN","NaN","NaN","NaN","NaN"
1988,21.918756,448.379693,"NaN","NaN","NaN","NaN","NaN","NaN"
1989,22.200212,438.688441,"NaN","NaN","NaN","NaN","NaN","NaN"
1990,22.732144,438.853609,"NaN","NaN","NaN","NaN","NaN","NaN"
1991,23.205591,443.002102,"NaN","NaN","NaN","NaN","NaN","NaN"
1992,22.520424,423.111385,"NaN","NaN","NaN","NaN","NaN","NaN"
1993,22.749872,420.593690,"NaN","NaN","NaN",22.572411,"NaN","NaN"
1994,22.974598,413.174187,"NaN","NaN",24.995917,"NaN","NaN","NaN"
1995,23.516638,410.201767,"NaN","NaN","NaN","NaN","NaN","NaN"
1996,24.233477,407.554739,"NaN","NaN","NaN","NaN","NaN","NaN"
1997,24.380321,394.629314,"NaN","NaN","NaN","NaN","NaN","NaN"
1998,24.295713,383.739519,"NaN","NaN","NaN","NaN","NaN","NaN"
1999,24.837771,379.290361,"NaN","NaN","NaN","NaN","NaN","NaN"
2000,25.511483,372.091021,"NaN","NaN","NaN","NaN","NaN","NaN"
2001,25.692994,366.248272,"NaN","NaN","NaN","NaN","NaN","NaN"
2002,26.265332,364.853774,"NaN","NaN","NaN",26.640210,"NaN","NaN"
2003,27.652690,370.707346,"NaN","NaN","NaN","NaN","NaN","NaN"
2004,28.610024,364.884471,"NaN","NaN","NaN","NaN",28.537829,"NaN"
2005,29.598950,361.080142,"NaN","NaN","NaN","NaN","NaN","NaN"
2006,30.594152,354.982264,"NaN","NaN","NaN","NaN","NaN","NaN"
2007,31.499256,347.679683,"NaN","NaN","NaN","NaN","NaN","NaN"
2008,32.049660,344.391831,"NaN","NaN","NaN","NaN","NaN","NaN"
2009,31.513014,340.987845,"NaN","NaN","NaN","NaN","NaN","NaN"
2010,33.317673,343.272867,"NaN","NaN","NaN","NaN","NaN","NaN"
2011,34.479989,342.107037,"NaN","NaN","NaN","NaN","NaN","NaN"
2012,34.954735,336.487330,"NaN","NaN","NaN","NaN","NaN","NaN"
2013,35.275820,328.881921,"NaN","NaN","NaN","NaN",36.439449,"NaN"
2014,35.465694,320.009513,"NaN","NaN","NaN","NaN","NaN","NaN"
2015,35.403528,309.263374,"NaN","NaN","NaN","NaN","NaN",35.203666
2016,35.392830,299.517453,"NaN","NaN","NaN","NaN","NaN","NaN"
2017,35.974610,293.474158,"NaN","NaN","NaN","NaN","NaN","NaN"
2018,36.734003,289.620446,"NaN","NaN","NaN","NaN","NaN","NaN"
2019,37.086567,284.376111,"NaN","NaN","NaN","NaN","NaN","NaN"
2020,35.158230,278.573832,"NaN","NaN","NaN","NaN","NaN","NaN"
2021,36.866864,275.743407,"NaN","NaN","NaN","NaN","NaN","NaN"
2022,37.527772,271.317956,"NaN","NaN","NaN","NaN","NaN","NaN"
2023,38.094044,267.015622,"NaN","NaN","NaN","NaN","NaN","NaN"
2024,38.598578,261.737034,"NaN","NaN","NaN","NaN","NaN",39.440192
2025,38.870433,255.045013,"NaN","NaN","NaN","NaN","NaN","NaN"
