"Year","USA","OECD Europe","Japan","Rest of OECD","China","India","Russia","Rest of Non-OECD","Bunkers"
1959,2.831909,2.440121,0.192920,0.399347,0.720163,0.101436,0.850093,1.105340,0.213783
1960,2.897308,2.636585,0.232830,0.420898,0.798811,0.111320,0.885070,1.167478,0.236652
1961,2.886862,2.735894,0.283131,0.430000,0.570641,0.120399,0.912753,1.213796,0.261515
1962,2.993898,2.886852,0.293278,0.456316,0.459625,0.132580,0.957987,1.295657,0.271047
1963,3.126484,3.051238,0.325268,0.476507,0.456787,0.142439,1.027400,1.376616,0.284039
1964,3.264307,3.175235,0.359353,0.525916,0.460644,0.139483,1.092664,1.495502,0.311366
1965,3.399539,3.214264,0.386970,0.561089,0.500294,0.153697,1.159119,1.613733,0.321898
1966,3.571418,3.288377,0.419780,0.587964,0.549467,0.159371,1.224087,1.713810,0.348350
1967,3.705461,3.310294,0.489916,0.634471,0.460233,0.159557,1.279969,1.824772,0.372698
1968,3.840923,3.490275,0.562568,0.675458,0.495514,0.174071,1.315942,1.956454,0.394069
1969,4.035156,3.695286,0.653853,0.707682,0.607694,0.177411,1.370468,2.101873,0.412374
1970,4.339704,3.861255,0.769748,0.784335,0.807964,0.181724,1.441379,2.278586,0.434444
1971,4.365484,3.954208,0.799647,0.825928,0.909210,0.191965,1.529596,2.468895,0.458932
1972,4.573034,4.067031,0.861054,0.875062,0.968636,0.203037,1.609330,2.577805,0.489592
1973,4.777725,4.239233,0.914266,0.928514,1.008269,0.209096,1.677296,2.799112,0.523775
1974,4.608462,4.162256,0.914306,0.949335,1.028063,0.215854,1.741162,2.892099,0.486374
1975,4.414455,4.062246,0.869815,0.979729,1.183154,0.234210,1.830213,2.969618,0.445037
1976,4.621539,4.324145,0.909575,1.021826,1.226339,0.244750,1.900701,3.177462,0.436155
1977,4.749501,4.286330,0.935554,1.073648,1.340715,0.258962,1.965351,3.301867,0.446111
1978,4.897339,4.394443,0.905088,1.124913,1.492517,0.263150,2.032849,3.461222,0.453220
1979,4.908766,4.541927,0.957147,1.191336,1.525417,0.276285,2.049709,3.603144,0.454859
1980,4.730218,4.439206,0.948552,1.234895,1.494298,0.291714,2.130355,3.696239,0.444315
1981,4.543633,4.198813,0.930377,1.254358,1.476280,0.314969,2.089791,3.661366,0.410169
1982,4.311919,4.084972,0.900724,1.273720,1.606239,0.325383,2.129189,3.726210,0.371386
1983,4.346381,4.037489,0.884424,1.246188,1.693747,0.352205,2.159389,3.825196,0.356757
1984,4.479380,4.070205,0.940542,1.290567,1.844213,0.361569,2.178563,3.934059,0.358152
1985,4.495379,4.149210,0.915276,1.326195,1.997193,0.397601,2.349517,4.148630,0.365862
1986,4.498136,4.135509,0.914049,1.336804,2.103430,0.426318,2.349904,4.281715,0.392180
1987,4.691930,4.158293,0.902207,1.411980,2.256629,0.455355,2.358795,4.344891,0.526109
1988,4.897776,4.120215,0.984698,1.474649,2.424444,0.491700,2.437801,4.543164,0.544309
1989,4.960238,4.165388,1.021298,1.549281,2.462150,0.540662,2.405697,4.531549,0.563951
1990,5.131761,4.270444,1.154853,1.611896,2.483535,0.577987,2.536284,4.417515,0.547870
1991,5.076413,4.267456,1.166552,1.648961,2.619143,0.615388,2.407642,4.861366,0.542670
1992,5.178769,4.140712,1.175454,1.714732,2.731290,0.655424,1.963458,4.406767,0.553817
1993,5.279520,4.063176,1.169328,1.768259,2.914284,0.677262,1.866525,4.454082,0.557434
