"Year","GDP-PPP","Emissions/GDP-PPP"
1,28.688674,0.428358
2,22.516020,0.217806
3,11.584756,0.275662
4,5.396939,0.178225
5,4.710213,0.121506
6,3.836208,0.211725
7,3.702356,0.480917
8,3.295012,0.094963
9,3.246867,0.081357
10,3.168422,0.152445
